"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22895","Un utilisateur peut déposer des euros sur son compte via Open Banking avec succès","flux_nonReg","2026-02-18","failed","2026-02-18","","transfers/deposit.spec.ts","",""
"","19644","(auth.setup) utilisateur approuvé avec 2FA","flux_setup","2026-02-18","passed","2026-02-18","","_setup/authAndCookies.setup.ts","",""
"","613253","Un utilisateur ne peut pas se connecter avec un mot de passe incorrect","flux_nonReg","2026-02-18","passed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","8517","Le formulaire de réinitialisation du mot de passe affiche les messages d'erreur appropriés en cas de données invalides","flux_nonReg","2026-02-18","passed","2026-02-18","","authentication/reset-password.spec.ts","",""
"","22915","Un utilisateur peut vendre du BTC avec succès","flux_nonReg","2026-02-18","failed","2026-02-18","","trading/sell-cryptos.spec.ts","",""
"","22726","Un utilisateur peut ajouter un portefeuille non hébergé avec succès","flux_nonReg","2026-02-18","failed","2026-02-18","","wallet/unhosted-wallets.spec.ts","",""
"","740854","Un utilisateur est vérouillé après plusieurs tentatives de connexion infructueuses","flux_nonReg","2026-02-18","broken","2026-02-18","","authentication/locked-account.spec.ts","",""
"","15833","Un utilisateur peut se connecter avec des identifiants valides et sans 2FA","flux_nonReg","2026-02-18","passed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","3545","Le formulaire de connexion affiche les messages d'erreur appropriés en cas de données invalides","flux_nonReg","2026-02-18","passed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","33218","Le formulaire de retrait affiche les messages d'erreur appropriés en cas de données invalides","flux_nonReg","2026-02-18","failed","2026-02-18","","transfers/withdraw.spec.ts","",""
"","9264","(setup) cookies accepté","flux_setup","2026-02-18","passed","2026-02-18","","_setup/authAndCookies.setup.ts","",""
"","27200","Un utilisateur peut se déconnecter avec succès","flux_nonReg","2026-02-18","failed","2026-02-18","","authentication/sign-out.spec.ts","",""
"","398813","Un utilisateur peut créer un ticket de support, ajouter un commentaire, puis fermer le ticket","flux_nonReg","2026-02-18","passed","2026-02-18","","support/support-tickets.spec.ts","",""
"","23076","Un utilisateur peut échanger de l'USDC contre du BTC avec succès","flux_nonReg","2026-02-18","failed","2026-02-18","","trading/swap-cryptos.spec.ts","",""
"","7896","Un utilisateur non authentifié est redirigé vers la page de connexion lorsqu'il tente d'accéder à une route protégée","flux_nonReg","2026-02-18","passed","2026-02-18","","authentication/potected-routes.spec.ts","",""
"","32977","Un utilisateur peut naviguer vers les principales sections du site via le menu utilisateur","flux_nonReg","2026-02-18","passed","2026-02-18","","navigation/user-menu.spec.ts","",""
"","23247","Un utilisateur peut échanger de l'USDC contre de l'ETH avec succès","flux_nonReg","2026-02-18","failed","2026-02-18","","trading/swap-cryptos.spec.ts","",""
"","23031","Un utilisateur peut vendre du BTC au marché avec succès","flux_nonReg","2026-02-18","failed","2026-02-18","","trading/expert-mode.spec.ts","",""
"","8940","Un utilisateur avec un compte verrouillé voit un message d'erreur approprié lors de la tentative de connexion","flux_nonReg","2026-02-18","passed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","22970","Un utilisateur non approuvé ne peut pas initier un retrait et voit un message d'erreur approprié","flux_nonReg","2026-02-18","passed","2026-02-18","","transfers/withdraw.notApproved.spec.ts","",""
"","22591","Un utilisateur peut effectuer un transfert interne entre ses comptes deposit->trading avec succès","flux_nonReg","2026-02-18","failed","2026-02-18","","transfers/internal-transfer.spec.ts","",""
"","271843","Un utilisateur peut réinitialiser son mot de passe avec succès via le lien envoyé par email","flux_nonReg","2026-02-18","passed","2026-02-18","","authentication/reset-password.spec.ts","",""
"","23047","Un utilisateur peut acheter du BTC en ordre limite avec succès","flux_nonReg","2026-02-18","failed","2026-02-18","","trading/expert-mode.spec.ts","",""
"","202372","Un Utilisateur B2C peut compléter le flow d'onboarding avec succès","flux_nonReg","2026-02-18","passed","2026-02-18","","onboarding/complete-flows.spec.ts","",""
"","23047","Un utilisateur peut acheter de l'ETH via le compte de trading avec succès","flux_nonReg","2026-02-18","failed","2026-02-18","","trading/buy-cryptos.spec.ts","",""
"","23812","Un utilisateur peut acheter du BTC via le compte de trading avec succès","flux_nonReg","2026-02-18","failed","2026-02-18","","trading/buy-cryptos.spec.ts","",""
"","16115","Un utilisateur peut se connecter avec des identifiants valides et 2FA activée","flux_nonReg","2026-02-18","passed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","22793","Un utilisateur peut effectuer un transfert interne entre ses comptes trading->deposit avec succès","flux_nonReg","2026-02-18","failed","2026-02-18","","transfers/internal-transfer.spec.ts","",""
"","8621","Un utilisateur peut réactiver sa session après une expiration temporaire sans être redirigé vers la page de connexion","flux_nonReg","2026-02-18","passed","2026-02-18","","authentication/session-timeout.spec.ts","",""
"","16010","Un utilisateur non approuvé est redirigé vers la page d'onboarding incomplète après connexion","flux_nonReg","2026-02-18","passed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","23197","Un utilisateur peut échanger de l'ETH contre de l'USDC avec succès","flux_nonReg","2026-02-18","failed","2026-02-18","","trading/swap-cryptos.spec.ts","",""
"","33627","Un utilisateur peut retirer des cryptomonnaies de son compte avec succès","flux_nonReg","2026-02-18","failed","2026-02-18","","transfers/withdraw.spec.ts","",""
"","23141","Un utilisateur peut acheter du BTC au marché avec succès","flux_nonReg","2026-02-18","failed","2026-02-18","","trading/expert-mode.spec.ts","",""
"","6367","La page de présentation du Plan Bitcoin Famille est accessible et affiche les informations clés à un utilisateur non connecté","flux_nonReg","2026-02-18","passed","2026-02-18","","investment/family-plan.spec.ts","",""
"","22754","Un utilisateur peut échanger du BTC contre de l'ETH avec succès","flux_nonReg","2026-02-18","failed","2026-02-18","","trading/swap-cryptos.spec.ts","",""
"","3152","Un utilisateur peut accéder à la page de réinitialisation du mot de passe depuis la page de connexion","flux_nonReg","2026-02-18","passed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","8923","Le formulaire de réinitialisation du mot de passe affiche un message de succès même si l'email n'est pas enregistré (obfuscation)","flux_nonReg","2026-02-18","passed","2026-02-18","","authentication/reset-password.spec.ts","",""
"","67244","Barre de navigation principale","flux_nonReg","2026-02-18","failed","2026-02-18","","navigation/navbar.spec.ts","",""
"","22698","Un utilisateur peut envoyer des cryptomonnaies à un destinataire via son adresse email avec succès","flux_nonReg","2026-02-18","failed","2026-02-18","","transfers/send-by-email.spec.ts","",""
"","23192","Un utilisateur peut vendre du BTC en ordre limite avec succès","flux_nonReg","2026-02-18","failed","2026-02-18","","trading/expert-mode.spec.ts","",""
"","24022","Le formulaire d'achat de cryptomonnaies affiche les messages d'erreur appropriés en cas de données invalides","flux_nonReg","2026-02-18","failed","2026-02-18","","trading/buy-cryptos.spec.ts","",""
