"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23534","Un utilisateur peut échanger du BTC contre de l'USDC avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/swap-cryptos.spec.ts","",""
"","102914","Un Utilisateur B2B peut compléter le flow d'onboarding avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","onboarding/complete-flows.spec.ts","",""
"","2458","(clean) BTC Withdrawal Addresses","local_clean","2026-02-18","passed","2026-02-18","","_clean/cleanTestAccount.clean.ts","",""
"","15694","Un utilisateur peut se connecter avec des identifiants valides et 2FA activée","local_nonReg","2026-02-18","passed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","12362","Un utilisateur peut se connecter avec des identifiants valides et sans 2FA","local_nonReg","2026-02-18","passed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","3316","(clean) BTC DCA","local_clean","2026-02-18","passed","2026-02-18","","_clean/cleanTestAccount.clean.ts","",""
"","168370","Un utilisateur est vérouillé après plusieurs tentatives de connexion infructueuses","local_nonReg","2026-02-18","passed","2026-02-18","","authentication/locked-account.spec.ts","",""
"","20225","Un utilisateur peut acheter de l'ETH via une nouvelle carte de paiement avec succès","local_nonReg","2026-02-18","passed","2026-02-18","","trading/buy-cryptos.spec.ts","",""
"","10766","Un utilisateur est automatiquement déconnecté après l'expiration de sa session","local_nonReg","2026-02-18","passed","2026-02-18","","authentication/session-timeout.spec.ts","",""
"","17061","Un utilisateur peut retirer des cryptomonnaies de son compte avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","transfers/withdraw.spec.ts","",""
"","6976","La page de présentation du Plan Bitcoin Famille est accessible et affiche les informations clés à un utilisateur non connecté","local_nonReg","2026-02-18","passed","2026-02-18","","investment/family-plan.spec.ts","",""
"","15665","(auth.setup) utilisateur approuvé avec 2FA","local_setup","2026-02-18","passed","2026-02-18","","_setup/authAndCookies.setup.ts","",""
"","39936","Un utilisateur peut ajouter une adresse de retrait BTC avec succès","local_nonReg","2026-02-18","passed","2026-02-18","","wallet/crypto-address.spec.ts","",""
"","23110","Un utilisateur peut échanger de l'ETH contre du BTC avec succès","local_nonReg","2026-02-18","passed","2026-02-18","","trading/swap-cryptos.spec.ts","",""
"","10130","Un utilisateur ne peut pas initier un retrait de cryptomonnaies s'il n'a pas d'adresse de retrait enregistrée","local_nonReg","2026-02-18","passed","2026-02-18","","transfers/deposit.spec.ts","",""
"","8652","(setup) cookies accepté","local_setup","2026-02-18","passed","2026-02-18","","_setup/authAndCookies.setup.ts","",""
"","38350","Un utilisateur peut déposer des euros sur son compte via Open Banking avec succès","local_nonReg","2026-02-18","passed","2026-02-18","","transfers/deposit.spec.ts","",""
"","73489","Un utilisateur peut réinitialiser son mot de passe avec succès via le lien envoyé par email","local_nonReg","2026-02-18","passed","2026-02-18","","authentication/reset-password.spec.ts","",""
"","31288","Un utilisateur peut acheter du BTC via une nouvelle carte de paiement avec succès","local_nonReg","2026-02-18","passed","2026-02-18","","trading/buy-cryptos.spec.ts","",""
"","10908","Un utilisateur peut acheter de l'ETH via le compte de trading avec succès","local_nonReg","2026-02-18","passed","2026-02-18","","trading/buy-cryptos.spec.ts","",""
"","19971","Un utilisateur peut échanger de l'USDC contre du BTC avec succès","local_nonReg","2026-02-18","passed","2026-02-18","","trading/swap-cryptos.spec.ts","",""
"","58513","Un utilisateur peut activer et désactiver l'authentification à deux facteurs avec succès","local_nonReg","2026-02-18","passed","2026-02-18","","authentication/two-factor-auth.spec.ts","",""
"","20271","Un utilisateur peut échanger de l'USDC contre de l'ETH avec succès","local_nonReg","2026-02-18","passed","2026-02-18","","trading/swap-cryptos.spec.ts","",""
"","42138","Cycle de vie d'un DCA et validations des formulaires","local_nonReg","2026-02-18","passed","2026-02-18","","investment/dca.spec.ts","",""
"","21693","Un utilisateur non approuvé ne peut pas initier un retrait et voit un message d'erreur approprié","local_nonReg","2026-02-18","passed","2026-02-18","","transfers/withdraw.notApproved.spec.ts","",""
"","5721","Le formulaire de réinitialisation du mot de passe affiche un message de succès même si l'email n'est pas enregistré (obfuscation)","local_nonReg","2026-02-18","passed","2026-02-18","","authentication/reset-password.spec.ts","",""
"","4154","Lien approvisionnement et Formulaire","local_nonReg","2026-02-18","passed","2026-02-18","","trading/buy-cryptos.spec.ts","",""
"","16444","Un utilisateur peut vendre de l'USDC avec succès","local_nonReg","2026-02-18","passed","2026-02-18","","trading/sell-cryptos.spec.ts","",""
