"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24256","Un utilisateur peut acheter du BTC via le compte de trading avec succès","sandbox_nonReg","2026-02-18","failed","2026-02-18","","trading/buy-cryptos.spec.ts","",""
"","250540","Un utilisateur non approuvé ne peut pas créer de plan famille et voit un message d'erreur approprié","sandbox_nonReg","2026-02-18","passed","2026-02-18","","investment/family-plan.spec.ts","",""
"","418491","Un utilisateur est vérouillé après plusieurs tentatives de connexion infructueuses","sandbox_nonReg","2026-02-18","passed","2026-02-18","","authentication/locked-account.spec.ts","",""
"","360528","Un utilisateur peut changer son mot de passe avec succès","sandbox_nonReg","2026-02-18","passed","2026-02-18","","account/change-password.spec.ts","",""
"","248477","Un utilisateur non approuvé ne peut pas initier un retrait et voit un message d'erreur approprié","sandbox_nonReg","2026-02-18","passed","2026-02-18","","transfers/withdraw.notApproved.spec.ts","",""
"","4540","Un utilisateur peut accéder à la page d'inscription depuis la page de connexion","sandbox_nonReg","2026-02-18","passed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","23124","Lien approvisionnement et Formulaire","sandbox_nonReg","2026-02-18","failed","2026-02-18","","trading/buy-cryptos.spec.ts","",""
"","276689","Un Utilisateur B2C peut compléter le flow d'onboarding avec succès","sandbox_nonReg","2026-02-18","passed","2026-02-18","","onboarding/complete-flows.spec.ts","",""
"","22984","Un utilisateur peut acheter de l'ETH via une nouvelle carte de paiement avec succès","sandbox_nonReg","2026-02-18","failed","2026-02-18","","trading/buy-cryptos.spec.ts","",""
"","13492","Un utilisateur non approuvé est redirigé vers la page d'onboarding incomplète après connexion","sandbox_nonReg","2026-02-18","passed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","8140","Un utilisateur ne peut pas se connecter avec un email non enregistré","sandbox_nonReg","2026-02-18","passed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","22877","Un utilisateur peut vendre du BTC en ordre limite avec succès","sandbox_nonReg","2026-02-18","failed","2026-02-18","","trading/expert-mode.spec.ts","",""
"","16018","Un utilisateur peut naviguer vers les principales sections du site via le menu utilisateur","sandbox_nonReg","2026-02-18","passed","2026-02-18","","navigation/user-menu.spec.ts","",""
"","47319","Un utilisateur peut activer et désactiver l'authentification à deux facteurs avec succès","sandbox_nonReg","2026-02-18","passed","2026-02-18","","authentication/two-factor-auth.spec.ts","",""
"","7711","Un utilisateur avec un compte verrouillé voit un message d'erreur approprié lors de la tentative de connexion","sandbox_nonReg","2026-02-18","passed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","5389","Le formulaire de réinitialisation du mot de passe affiche les messages d'erreur appropriés en cas de données invalides","sandbox_nonReg","2026-02-18","passed","2026-02-18","","authentication/reset-password.spec.ts","",""
"","82347","La page de présentation du Plan Bitcoin Famille est accessible et affiche les informations clés","sandbox_nonReg","2026-02-18","passed","2026-02-18","","investment/family-plan.spec.ts","",""
"","4","(clean) tickets de support","sandbox_clean","2026-02-18","skipped","2026-02-18","","_clean/cleanTestAccount.clean.ts","",""
"","22861","Un utilisateur peut acheter du BTC au marché avec succès","sandbox_nonReg","2026-02-18","failed","2026-02-18","","trading/expert-mode.spec.ts","",""
"","23404","Un utilisateur peut échanger de l'USDC contre du BTC avec succès","sandbox_nonReg","2026-02-18","failed","2026-02-18","","trading/swap-cryptos.spec.ts","",""
"","9182","Un utilisateur non authentifié est redirigé vers la page de connexion lorsqu'il tente d'accéder à une route protégée","sandbox_nonReg","2026-02-18","passed","2026-02-18","","authentication/potected-routes.spec.ts","",""
