"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4055","La page de présentation du Plan Bitcoin Famille est accessible et affiche les informations clés à un utilisateur non connecté","local_nonReg","2026-02-18","passed","2026-02-18","","investment/family-plan.spec.ts","",""
"","19271","Un utilisateur peut vendre du BTC avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/sell-cryptos.spec.ts","",""
"","10543","Un utilisateur peut acheter du BTC via le compte de trading avec succès","local_nonReg","2026-02-18","passed","2026-02-18","","trading/buy-cryptos.spec.ts","",""
"","19653","Un utilisateur peut vendre de l'USDC avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/sell-cryptos.spec.ts","",""
"","4578","Un utilisateur peut accéder à la page de réinitialisation du mot de passe depuis la page de connexion","local_nonReg","2026-02-18","passed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","25287","Un utilisateur peut naviguer vers les principales sections du site via le menu responsive","local_nonReg","2026-02-18","failed","2026-02-18","","navigation/responsive.spec.ts","",""
"","643990","Un utilisateur est vérouillé après plusieurs tentatives de connexion infructueuses","local_nonReg","2026-02-18","broken","2026-02-18","","authentication/locked-account.spec.ts","",""
"","60742","Un utilisateur non approuvé ne peut pas initier un retrait et voit un message d'erreur approprié","local_nonReg","2026-02-18","failed","2026-02-18","","transfers/withdraw.notApproved.spec.ts","",""
"","18474","Un utilisateur peut échanger de l'ETH contre de l'USDC avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/swap-cryptos.spec.ts","",""
"","9993","(setup) cookies accepté","local_setup","2026-02-18","passed","2026-02-18","","_setup/authAndCookies.setup.ts","",""
"","7445","Un utilisateur avec un compte verrouillé voit un message d'erreur approprié lors de la tentative de connexion","local_nonReg","2026-02-18","passed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","32089","Un utilisateur peut vendre du BTC en ordre limite avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/expert-mode.spec.ts","",""
"","17753","Un utilisateur peut échanger du BTC contre de l'ETH avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/swap-cryptos.spec.ts","",""
"","159260","Un utilisateur ne peut pas se connecter avec un mot de passe incorrect","local_nonReg","2026-02-18","failed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","12765","Un utilisateur peut ajouter une adresse de retrait BTC avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","wallet/crypto-address.spec.ts","",""
"","23194","Un utilisateur peut acheter de l'ETH via une nouvelle carte de paiement avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/buy-cryptos.spec.ts","",""
"","17046","Un utilisateur peut retirer des cryptomonnaies de son compte avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","transfers/withdraw.spec.ts","",""
"","31776","Un utilisateur peut acheter du BTC en ordre limite avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/expert-mode.spec.ts","",""
"","18833","Un utilisateur peut échanger de l'USDC contre de l'ETH avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/swap-cryptos.spec.ts","",""
"","4498","Un utilisateur peut accéder à la page d'inscription depuis la page de connexion","local_nonReg","2026-02-18","passed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","14472","Un utilisateur peut acheter du BTC via une nouvelle carte de paiement avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/buy-cryptos.spec.ts","",""
"","62500","Un utilisateur peut activer et désactiver l'authentification à deux facteurs avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","authentication/two-factor-auth.spec.ts","",""
"","32136","Un utilisateur peut vendre du BTC au marché avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/expert-mode.spec.ts","",""
