"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22662","Un utilisateur peut échanger de l'USDC contre de l'ETH avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/swap-cryptos.spec.ts","",""
"","2193","(clean) BTC DCA","local_clean","2026-02-18","passed","2026-02-18","","_clean/cleanTestAccount.clean.ts","",""
"","22944","Un utilisateur peut déposer des euros sur son compte via Open Banking avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","transfers/deposit.spec.ts","",""
"","4","(clean) tickets de support","local_clean","2026-02-18","skipped","2026-02-18","","_clean/cleanTestAccount.clean.ts","",""
"","4223","Un utilisateur est automatiquement déconnecté après l'expiration de sa session","local_nonReg","2026-02-18","failed","2026-02-18","","authentication/session-timeout.spec.ts","",""
"","13307","Un utilisateur peut ajouter une adresse de retrait BTC avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","wallet/crypto-address.spec.ts","",""
"","22858","Un utilisateur peut vendre de l'ETH avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/sell-cryptos.spec.ts","",""
"","23651","Un utilisateur peut vendre de l'USDC avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/sell-cryptos.spec.ts","",""
"","4087","Un utilisateur peut accéder à la page de réinitialisation du mot de passe depuis la page de connexion","local_nonReg","2026-02-18","passed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","22871","Un utilisateur peut échanger de l'USDC contre du BTC avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/swap-cryptos.spec.ts","",""
"","2195","(clean) BTC Withdrawal Addresses","local_clean","2026-02-18","passed","2026-02-18","","_clean/cleanTestAccount.clean.ts","",""
"","22996","Un utilisateur peut vendre du BTC au marché avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/expert-mode.spec.ts","",""
"","22600","Un utilisateur peut échanger du BTC contre de l'USDC avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/swap-cryptos.spec.ts","",""
"","642304","Un utilisateur peut activer et désactiver l'authentification à deux facteurs avec succès","local_nonReg","2026-02-18","broken","2026-02-18","","authentication/two-factor-auth.spec.ts","",""
"","32833","Un utilisateur peut retirer des cryptomonnaies de son compte avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","transfers/withdraw.spec.ts","",""
"","9651","Un utilisateur peut se déconnecter avec succès","local_nonReg","2026-02-18","passed","2026-02-18","","authentication/sign-out.spec.ts","",""
"","62010","Un utilisateur peut réinitialiser son mot de passe avec succès via le lien envoyé par email","local_nonReg","2026-02-18","failed","2026-02-18","","authentication/reset-password.spec.ts","",""
"","9790","Un utilisateur avec un compte verrouillé voit un message d'erreur approprié lors de la tentative de connexion","local_nonReg","2026-02-18","passed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","22885","Un utilisateur peut acheter du BTC en ordre limite avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/expert-mode.spec.ts","",""
"","15461","Cycle de vie d'un DCA et validations des formulaires","local_nonReg","2026-02-18","failed","2026-02-18","","investment/dca.spec.ts","",""
"","7944","Un utilisateur ne peut pas se connecter avec un email non enregistré","local_nonReg","2026-02-18","passed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","8499","(setup) cookies accepté","local_setup","2026-02-18","passed","2026-02-18","","_setup/authAndCookies.setup.ts","",""
"","626574","Un utilisateur non approuvé est redirigé vers la page d'onboarding incomplète après connexion","local_nonReg","2026-02-18","broken","2026-02-18","","authentication/sign-in.spec.ts","",""
"","98593","Un utilisateur est vérouillé après plusieurs tentatives de connexion infructueuses","local_nonReg","2026-02-18","failed","2026-02-18","","authentication/locked-account.spec.ts","",""
"","6049","Le formulaire de réinitialisation du mot de passe affiche les messages d'erreur appropriés en cas de données invalides","local_nonReg","2026-02-18","passed","2026-02-18","","authentication/reset-password.spec.ts","",""
"","22769","Un utilisateur peut échanger du BTC contre de l'ETH avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/swap-cryptos.spec.ts","",""
"","128352","Un utilisateur peut changer son mot de passe avec succès","local_nonReg","2026-02-18","broken","2026-02-18","","account/change-password.spec.ts","",""
"","22783","Un utilisateur peut effectuer un transfert interne entre ses comptes trading->deposit avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","transfers/internal-transfer.spec.ts","",""
"","22847","Un utilisateur peut échanger de l'ETH contre de l'USDC avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/swap-cryptos.spec.ts","",""
"","22704","Un utilisateur peut vendre du BTC avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/sell-cryptos.spec.ts","",""
"","22840","Un utilisateur peut échanger de l'ETH contre du BTC avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/swap-cryptos.spec.ts","",""
"","22757","Lien approvisionnement et Formulaire","local_nonReg","2026-02-18","failed","2026-02-18","","trading/buy-cryptos.spec.ts","",""
"","69641","Un utilisateur ne peut pas se connecter avec un mot de passe incorrect","local_nonReg","2026-02-18","failed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","29121","Un utilisateur peut naviguer vers les principales sections du site via le menu responsive","local_nonReg","2026-02-18","failed","2026-02-18","","navigation/responsive.spec.ts","",""
"","22563","Un utilisateur peut vendre du BTC en ordre limite avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/expert-mode.spec.ts","",""
"","23071","Un utilisateur peut acheter de l'ETH via le compte de trading avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/buy-cryptos.spec.ts","",""
"","22858","Un utilisateur peut acheter du BTC via une nouvelle carte de paiement avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/buy-cryptos.spec.ts","",""
"","4027","Un utilisateur peut réactiver sa session après une expiration temporaire sans être redirigé vers la page de connexion","local_nonReg","2026-02-18","failed","2026-02-18","","authentication/session-timeout.spec.ts","",""
"","36422","Un utilisateur peut se connecter avec des identifiants valides et 2FA activée","local_nonReg","2026-02-18","failed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","20600","(auth.setup) utilisateur approuvé avec 2FA","local_setup","2026-02-18","passed","2026-02-18","","_setup/authAndCookies.setup.ts","",""
"","22955","Un utilisateur peut acheter de l'ETH via une nouvelle carte de paiement avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/buy-cryptos.spec.ts","",""
"","26910","La page de présentation du Plan Bitcoin Famille est accessible et affiche les informations clés","local_nonReg","2026-02-18","passed","2026-02-18","","investment/family-plan.spec.ts","",""
"","32493","Un utilisateur peut se connecter avec des identifiants valides et sans 2FA","local_nonReg","2026-02-18","failed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","22550","Un utilisateur peut ajouter un portefeuille non hébergé avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","wallet/unhosted-wallets.spec.ts","",""
"","5463","Le formulaire de connexion affiche les messages d'erreur appropriés en cas de données invalides","local_nonReg","2026-02-18","passed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","38607","Un utilisateur peut créer un ticket de support, ajouter un commentaire, puis fermer le ticket","local_nonReg","2026-02-18","failed","2026-02-18","","support/support-tickets.spec.ts","",""
"","22643","Un utilisateur peut effectuer un transfert interne entre ses comptes deposit->trading avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","transfers/internal-transfer.spec.ts","",""
"","6838","Le formulaire de réinitialisation du mot de passe affiche un message de succès même si l'email n'est pas enregistré (obfuscation)","local_nonReg","2026-02-18","passed","2026-02-18","","authentication/reset-password.spec.ts","",""
"","22679","Un utilisateur peut envoyer des cryptomonnaies à un destinataire via son adresse email avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","transfers/send-by-email.spec.ts","",""
"","22666","Un utilisateur peut acheter du BTC au marché avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/expert-mode.spec.ts","",""
"","23851","Le formulaire d'achat de cryptomonnaies affiche les messages d'erreur appropriés en cas de données invalides","local_nonReg","2026-02-18","failed","2026-02-18","","trading/buy-cryptos.spec.ts","",""
"","22820","Un utilisateur ne peut pas initier un retrait de cryptomonnaies s'il n'a pas d'adresse de retrait enregistrée","local_nonReg","2026-02-18","failed","2026-02-18","","transfers/deposit.spec.ts","",""
"","3828","Un utilisateur peut accéder à la page d'inscription depuis la page de connexion","local_nonReg","2026-02-18","passed","2026-02-18","","authentication/sign-in.spec.ts","",""
"","19420","Un Utilisateur B2B peut compléter le flow d'onboarding avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","onboarding/complete-flows.spec.ts","",""
"","33188","Le formulaire de retrait affiche les messages d'erreur appropriés en cas de données invalides","local_nonReg","2026-02-18","failed","2026-02-18","","transfers/withdraw.spec.ts","",""
"","23024","Un utilisateur peut acheter du BTC via le compte de trading avec succès","local_nonReg","2026-02-18","failed","2026-02-18","","trading/buy-cryptos.spec.ts","",""
