"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","655437","Un utilisateur non approuvé ne peut pas initier un retrait et voit un message d'erreur approprié","local_nonReg","2026-02-19","passed","2026-02-19","","transfers/withdraw.notApproved.spec.ts","",""
"","7037","Un utilisateur ne peut pas se connecter avec un email non enregistré","local_nonReg","2026-02-19","passed","2026-02-19","","authentication/sign-in.spec.ts","",""
"","8772","Un utilisateur peut acheter du BTC via le compte de trading avec succès","local_nonReg","2026-02-19","passed","2026-02-19","","trading/buy-cryptos.spec.ts","",""
"","112972","Un utilisateur ne peut pas se connecter avec un mot de passe incorrect","local_nonReg","2026-02-19","passed","2026-02-19","","authentication/sign-in.spec.ts","",""
"","12683","Un utilisateur peut réactiver sa session après une expiration temporaire sans être redirigé vers la page de connexion","local_nonReg","2026-02-19","passed","2026-02-19","","authentication/session-timeout.spec.ts","",""
"","12461","Un utilisateur peut échanger de l'ETH contre de l'USDC avec succès","local_nonReg","2026-02-19","passed","2026-02-19","","trading/swap-cryptos.spec.ts","",""
"","10004","Un utilisateur peut échanger du BTC contre de l'ETH avec succès","local_nonReg","2026-02-19","passed","2026-02-19","","trading/swap-cryptos.spec.ts","",""
"","17346","Un utilisateur peut se déconnecter avec succès","local_nonReg","2026-02-19","passed","2026-02-19","","authentication/sign-out.spec.ts","",""
"","15284","Un utilisateur peut retirer des cryptomonnaies de son compte avec succès","local_nonReg","2026-02-19","failed","2026-02-19","","transfers/withdraw.spec.ts","",""
"","10143","Un utilisateur peut se connecter avec des identifiants valides et sans 2FA","local_nonReg","2026-02-19","passed","2026-02-19","","authentication/sign-in.spec.ts","",""
"","49409","Un utilisateur peut réinitialiser son mot de passe avec succès via le lien envoyé par email","local_nonReg","2026-02-19","passed","2026-02-19","","authentication/reset-password.spec.ts","",""
"","10957","Un utilisateur peut vendre de l'USDC avec succès","local_nonReg","2026-02-19","passed","2026-02-19","","trading/sell-cryptos.spec.ts","",""
"","58074","Un utilisateur peut vendre du BTC en ordre limite avec succès","local_nonReg","2026-02-19","failed","2026-02-19","","trading/expert-mode.spec.ts","",""
"","20085","Un utilisateur peut envoyer des cryptomonnaies à un destinataire via son adresse email avec succès","local_nonReg","2026-02-19","passed","2026-02-19","","transfers/send-by-email.spec.ts","",""
"","9169","Un utilisateur peut acheter de l'ETH via le compte de trading avec succès","local_nonReg","2026-02-19","passed","2026-02-19","","trading/buy-cryptos.spec.ts","",""
"","6420","Un utilisateur avec un compte verrouillé voit un message d'erreur approprié lors de la tentative de connexion","local_nonReg","2026-02-19","passed","2026-02-19","","authentication/sign-in.spec.ts","",""
"","558959","Un utilisateur peut activer et désactiver l'authentification à deux facteurs avec succès","local_nonReg","2026-02-19","passed","2026-02-19","","authentication/two-factor-auth.spec.ts","",""
"","8189","La page de présentation du Plan Bitcoin Famille est accessible et affiche les informations clés à un utilisateur non connecté","local_nonReg","2026-02-19","passed","2026-02-19","","investment/family-plan.spec.ts","",""
"","5242","Lien approvisionnement et Formulaire","local_nonReg","2026-02-19","passed","2026-02-19","","trading/buy-cryptos.spec.ts","",""
"","6799","Un utilisateur peut vendre du BTC avec succès","local_nonReg","2026-02-19","passed","2026-02-19","","trading/sell-cryptos.spec.ts","",""
"","17703","(setup) cookies accepté","local_setup","2026-02-19","passed","2026-02-19","","_setup/authAndCookies.setup.ts","",""
"","81159","Un utilisateur peut acheter du BTC au marché avec succès","local_nonReg","2026-02-19","failed","2026-02-19","","trading/expert-mode.spec.ts","",""
"","4943","Un utilisateur peut accéder à la page d'inscription depuis la page de connexion","local_nonReg","2026-02-19","passed","2026-02-19","","authentication/sign-in.spec.ts","",""
"","58004","Un utilisateur non approuvé ne peut pas créer de plan famille et voit un message d'erreur approprié","local_nonReg","2026-02-19","passed","2026-02-19","","investment/family-plan.spec.ts","",""
"","33287","Cycle de vie d'un DCA et validations des formulaires","local_nonReg","2026-02-19","passed","2026-02-19","","investment/dca.spec.ts","",""
