"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24159","Un utilisateur peut effectuer un transfert interne entre ses comptes trading->deposit avec succès","local_nonReg","2026-02-19","failed","2026-02-19","","transfers/internal-transfer.spec.ts","",""
"","22361","Un utilisateur peut acheter du BTC via le compte de trading avec succès","local_nonReg","2026-02-19","failed","2026-02-19","","trading/buy-cryptos.spec.ts","",""
"","7597","Un utilisateur peut réactiver sa session après une expiration temporaire sans être redirigé vers la page de connexion","local_nonReg","2026-02-19","passed","2026-02-19","","authentication/session-timeout.spec.ts","",""
"","24549","Un utilisateur peut envoyer des cryptomonnaies à un destinataire via son adresse email avec succès","local_nonReg","2026-02-19","failed","2026-02-19","","transfers/send-by-email.spec.ts","",""
"","233018","Un Utilisateur B2C peut compléter le flow d'onboarding avec succès","local_nonReg","2026-02-19","passed","2026-02-19","","onboarding/complete-flows.spec.ts","",""
"","25393","Un utilisateur peut échanger de l'ETH contre du BTC avec succès","local_nonReg","2026-02-19","failed","2026-02-19","","trading/swap-cryptos.spec.ts","",""
"","14751","Un utilisateur peut naviguer vers les principales sections du site via le menu utilisateur","local_nonReg","2026-02-19","passed","2026-02-19","","navigation/user-menu.spec.ts","",""
"","22336","Un utilisateur peut vendre du BTC en ordre limite avec succès","local_nonReg","2026-02-19","failed","2026-02-19","","trading/expert-mode.spec.ts","",""
"","25548","Cycle de vie d'un DCA et validations des formulaires","local_nonReg","2026-02-19","passed","2026-02-19","","investment/dca.spec.ts","",""
"","6264","Un utilisateur ne peut pas se connecter avec un email non enregistré","local_nonReg","2026-02-19","passed","2026-02-19","","authentication/sign-in.spec.ts","",""
"","221540","Un utilisateur peut activer et désactiver l'authentification à deux facteurs avec succès","local_nonReg","2026-02-19","passed","2026-02-19","","authentication/two-factor-auth.spec.ts","",""
"","22643","Un utilisateur peut vendre du BTC au marché avec succès","local_nonReg","2026-02-19","failed","2026-02-19","","trading/expert-mode.spec.ts","",""
"","23200","Un utilisateur peut échanger du BTC contre de l'USDC avec succès","local_nonReg","2026-02-19","failed","2026-02-19","","trading/swap-cryptos.spec.ts","",""
"","22832","Un utilisateur peut échanger de l'USDC contre du BTC avec succès","local_nonReg","2026-02-19","failed","2026-02-19","","trading/swap-cryptos.spec.ts","",""
"","14069","Un utilisateur peut ajouter une adresse de retrait BTC avec succès","local_nonReg","2026-02-19","failed","2026-02-19","","wallet/crypto-address.spec.ts","",""
"","22512","Le formulaire d'achat de cryptomonnaies affiche les messages d'erreur appropriés en cas de données invalides","local_nonReg","2026-02-19","failed","2026-02-19","","trading/buy-cryptos.spec.ts","",""
"","23170","Un utilisateur peut vendre de l'ETH avec succès","local_nonReg","2026-02-19","failed","2026-02-19","","trading/sell-cryptos.spec.ts","",""
"","101953","Un utilisateur peut réinitialiser son mot de passe avec succès via le lien envoyé par email","local_nonReg","2026-02-19","passed","2026-02-19","","authentication/reset-password.spec.ts","",""
"","41281","Un utilisateur est vérouillé après plusieurs tentatives de connexion infructueuses","local_nonReg","2026-02-19","passed","2026-02-19","","authentication/locked-account.spec.ts","",""
"","22561","Un utilisateur peut échanger de l'ETH contre de l'USDC avec succès","local_nonReg","2026-02-19","failed","2026-02-19","","trading/swap-cryptos.spec.ts","",""
"","23857","Un utilisateur ne peut pas initier un retrait de cryptomonnaies s'il n'a pas d'adresse de retrait enregistrée","local_nonReg","2026-02-19","failed","2026-02-19","","transfers/deposit.spec.ts","",""
"","94765","Un utilisateur peut changer son mot de passe avec succès","local_nonReg","2026-02-19","passed","2026-02-19","","account/change-password.spec.ts","",""
"","22357","Un utilisateur peut échanger du BTC contre de l'ETH avec succès","local_nonReg","2026-02-19","failed","2026-02-19","","trading/swap-cryptos.spec.ts","",""
"","26394","Un utilisateur non approuvé ne peut pas initier un retrait et voit un message d'erreur approprié","local_nonReg","2026-02-19","passed","2026-02-19","","transfers/withdraw.notApproved.spec.ts","",""
"","6921","Un utilisateur avec un compte verrouillé voit un message d'erreur approprié lors de la tentative de connexion","local_nonReg","2026-02-19","passed","2026-02-19","","authentication/sign-in.spec.ts","",""
"","3067","La page de présentation du Plan Bitcoin Famille est accessible et affiche les informations clés à un utilisateur non connecté","local_nonReg","2026-02-19","passed","2026-02-19","","investment/family-plan.spec.ts","",""
"","3443","Le formulaire de connexion affiche les messages d'erreur appropriés en cas de données invalides","local_nonReg","2026-02-19","passed","2026-02-19","","authentication/sign-in.spec.ts","",""
"","22681","Un utilisateur peut vendre du BTC avec succès","local_nonReg","2026-02-19","failed","2026-02-19","","trading/sell-cryptos.spec.ts","",""
"","22254","Un utilisateur peut acheter de l'ETH via le compte de trading avec succès","local_nonReg","2026-02-19","failed","2026-02-19","","trading/buy-cryptos.spec.ts","",""
"","22854","Un utilisateur peut acheter de l'ETH via une nouvelle carte de paiement avec succès","local_nonReg","2026-02-19","failed","2026-02-19","","trading/buy-cryptos.spec.ts","",""
"","22815","Un utilisateur peut acheter du BTC via une nouvelle carte de paiement avec succès","local_nonReg","2026-02-19","failed","2026-02-19","","trading/buy-cryptos.spec.ts","",""
"","3941","Un utilisateur peut se déconnecter avec succès","local_nonReg","2026-02-19","passed","2026-02-19","","authentication/sign-out.spec.ts","",""
"","33721","Le formulaire de retrait affiche les messages d'erreur appropriés en cas de données invalides","local_nonReg","2026-02-19","failed","2026-02-19","","transfers/withdraw.spec.ts","",""
