"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","147110","Un utilisateur peut effectuer un transfert interne entre ses comptes trading->deposit avec succès","","2026-02-20","broken","2026-02-20","","","",""
"","140362","Un utilisateur peut acheter du BTC au marché avec succès","","2026-02-20","passed","2026-02-20","","","",""
"","181371","Vérification ou Activation du Pin Code et de l'Empreinte Digitale","","2026-02-20","passed","2026-02-20","","","",""
"","110218","@sanity Un utilisateur peut se connecter et se déconnecter - flow complet","","2026-02-20","broken","2026-02-20","","","",""
"","136054","Un utilisateur peut vendre de l'ETH avec succès","","2026-02-20","broken","2026-02-20","","","",""
"","141294","Un utilisateur peut acheter de l'ETH via le compte de trading avec succès","","2026-02-20","broken","2026-02-20","","","",""
"","127350","Un utilisateur peut vendre de l'USDC avec succès","","2026-02-20","broken","2026-02-20","","","",""
"","181460","Un utilisateur peut retirer des cryptomonnaies de son compte avec succès","","2026-02-20","broken","2026-02-20","","","",""
"","177458","Un utilisateur peut acheter du BTC en ordre limite avec succès","","2026-02-20","passed","2026-02-20","","","",""
"","165791","Un utilisateur peut vendre du BTC au marché avec succès","","2026-02-20","passed","2026-02-20","","","",""
"","137342","Un utilisateur peut acheter de l'USDC via le compte de trading avec succès","","2026-02-20","broken","2026-02-20","","","",""
"","285247","Un utilisateur peut créer un ticket de support, ajouter un commentaire, puis fermer le ticket","","2026-02-20","passed","2026-02-20","","","",""
"","123496","Un utilisateur peut effectuer un transfert interne entre ses comptes deposit->trading avec succès","","2026-02-20","broken","2026-02-20","","","",""
"","215140","Un utilisateur peut réinitialiser son mot de passe avec succès via le lien envoyé par email","","2026-02-20","passed","2026-02-20","","","",""
"","153342","Un utilisateur peut échanger du BTC contre de l'ETH avec succès","","2026-02-20","broken","2026-02-20","","","",""
"","156096","Un utilisateur peut échanger du BTC contre de l'USDC avec succès","","2026-02-20","broken","2026-02-20","","","",""
"","160088","Un utilisateur peut déposer des euros sur son compte via Open Banking avec succès","","2026-02-20","broken","2026-02-20","","","",""
"","198517","Un utilisateur peut naviguer vers les principales sections du site via le menu utilisateur","","2026-02-20","passed","2026-02-20","","","",""
"","162658","Un utilisateur peut envoyer des cryptomonnaies à un destinataire via son adresse email avec succès","","2026-02-20","passed","2026-02-20","","","",""
"","41953","Un utilisateur peut activer et désactiver l'authentification à deux facteurs avec succès","","2026-02-20","broken","2026-02-20","","","",""
"","138374","Un utilisateur peut échanger de l'ETH contre de l'USDC avec succès","","2026-02-20","broken","2026-02-20","","","",""
"","133085","Un utilisateur peut déposer des cryptomonnaies sur son compte avec succès","","2026-02-20","passed","2026-02-20","","","",""
"","342419","Un utilisateur est vérouillé après plusieurs tentatives de connexion infructueuses","","2026-02-20","passed","2026-02-20","","","",""
"","175716","Un utilisateur peut échanger de l'ETH contre du BTC avec succès","","2026-02-20","broken","2026-02-20","","","",""
"","229815","Un utilisateur peut créer, éditer, mettre en pause, reprendre et stopper un DCA","","2026-02-20","passed","2026-02-20","","","",""
"","138784","Un utilisateur peut acheter du BTC via le compte de trading avec succès","","2026-02-20","broken","2026-02-20","","","",""
"","147354","Un utilisateur peut acheter de l'ETH via une nouvelle carte de paiement avec succès","","2026-02-20","broken","2026-02-20","","","",""
"","159154","Un Utilisateur B2C peut compléter le flow d'onboarding avec succès","","2026-02-20","broken","2026-02-20","","","",""
"","422165","Un utilisateur peut activer et désactiver la biométrie avec succès","","2026-02-20","passed","2026-02-20","","","",""
"","138353","Un utilisateur peut acheter du BTC via une nouvelle carte de paiement avec succès","","2026-02-20","broken","2026-02-20","","","",""
"","162096","Un utilisateur peut vendre du BTC en ordre limite avec succès","","2026-02-20","passed","2026-02-20","","","",""
"","150919","@sanity Un utilisateur peut naviguer vers les principales sections du site via la navigation mobile","","2026-02-20","broken","2026-02-20","","","",""
"","143719","Un utilisateur peut vendre du BTC avec succès","","2026-02-20","broken","2026-02-20","","","",""
