"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3672","La page de présentation du Plan Bitcoin Famille est accessible et affiche les informations clés à un utilisateur non connecté","local_nonReg","2026-02-20","passed","2026-02-20","","investment/family-plan.spec.ts","",""
"","22231","Un utilisateur peut effectuer un transfert interne entre ses comptes trading->deposit avec succès","local_nonReg","2026-02-20","failed","2026-02-20","","transfers/internal-transfer.spec.ts","",""
"","7566","Le formulaire de connexion affiche les messages d'erreur appropriés en cas de données invalides","local_nonReg","2026-02-20","passed","2026-02-20","","authentication/sign-in.spec.ts","",""
"","33285","Le formulaire de retrait affiche les messages d'erreur appropriés en cas de données invalides","local_nonReg","2026-02-20","failed","2026-02-20","","transfers/withdraw.spec.ts","",""
"","22065","Un utilisateur peut échanger de l'USDC contre de l'ETH avec succès","local_nonReg","2026-02-20","failed","2026-02-20","","trading/swap-cryptos.spec.ts","",""
"","22142","Un utilisateur peut envoyer des cryptomonnaies à un destinataire via son adresse email avec succès","local_nonReg","2026-02-20","failed","2026-02-20","","transfers/send-by-email.spec.ts","",""
"","66791","Un utilisateur non approuvé ne peut pas créer de plan famille et voit un message d'erreur approprié","local_nonReg","2026-02-20","failed","2026-02-20","","investment/family-plan.spec.ts","",""
"","29187","Un utilisateur peut se connecter avec des identifiants valides et sans 2FA","local_nonReg","2026-02-20","failed","2026-02-20","","authentication/sign-in.spec.ts","",""
"","2715","(clean) BTC Withdrawal Addresses","local_clean","2026-02-20","passed","2026-02-20","","_clean/cleanTestAccount.clean.ts","",""
"","338727","Un utilisateur peut créer un ticket de support, ajouter un commentaire, puis fermer le ticket","local_nonReg","2026-02-20","failed","2026-02-20","","support/support-tickets.spec.ts","",""
"","22904","Un utilisateur peut échanger de l'USDC contre du BTC avec succès","local_nonReg","2026-02-20","failed","2026-02-20","","trading/swap-cryptos.spec.ts","",""
"","12676","Cycle de vie d'un DCA et validations des formulaires","local_nonReg","2026-02-20","failed","2026-02-20","","investment/dca.spec.ts","",""
"","60676","Un utilisateur peut réinitialiser son mot de passe avec succès via le lien envoyé par email","local_nonReg","2026-02-20","failed","2026-02-20","","authentication/reset-password.spec.ts","",""
"","23049","Un utilisateur peut vendre du BTC en ordre limite avec succès","local_nonReg","2026-02-20","failed","2026-02-20","","trading/expert-mode.spec.ts","",""
"","22202","Lien approvisionnement et Formulaire","local_nonReg","2026-02-20","failed","2026-02-20","","trading/buy-cryptos.spec.ts","",""
"","19736","Un Utilisateur B2C peut compléter le flow d'onboarding avec succès","local_nonReg","2026-02-20","failed","2026-02-20","","onboarding/complete-flows.spec.ts","",""
"","22149","Un utilisateur peut acheter de l'ETH via le compte de trading avec succès","local_nonReg","2026-02-20","failed","2026-02-20","","trading/buy-cryptos.spec.ts","",""
"","5487","Un utilisateur est automatiquement déconnecté après l'expiration de sa session","local_nonReg","2026-02-20","failed","2026-02-20","","authentication/session-timeout.spec.ts","",""
"","22266","Un utilisateur peut acheter du BTC via une nouvelle carte de paiement avec succès","local_nonReg","2026-02-20","failed","2026-02-20","","trading/buy-cryptos.spec.ts","",""
"","22650","Un utilisateur peut échanger du BTC contre de l'USDC avec succès","local_nonReg","2026-02-20","failed","2026-02-20","","trading/swap-cryptos.spec.ts","",""
"","22137","Un utilisateur peut échanger de l'ETH contre de l'USDC avec succès","local_nonReg","2026-02-20","failed","2026-02-20","","trading/swap-cryptos.spec.ts","",""
"","620354","Un utilisateur non approuvé est redirigé vers la page d'onboarding incomplète après connexion","local_nonReg","2026-02-20","broken","2026-02-20","","authentication/sign-in.spec.ts","",""
"","22145","Un utilisateur ne peut pas initier un retrait de cryptomonnaies s'il n'a pas d'adresse de retrait enregistrée","local_nonReg","2026-02-20","failed","2026-02-20","","transfers/deposit.spec.ts","",""
"","7876","Un utilisateur ne peut pas se connecter avec un email non enregistré","local_nonReg","2026-02-20","passed","2026-02-20","","authentication/sign-in.spec.ts","",""
"","23233","Un utilisateur peut vendre du BTC au marché avec succès","local_nonReg","2026-02-20","failed","2026-02-20","","trading/expert-mode.spec.ts","",""
"","5629","Un utilisateur non authentifié est redirigé vers la page de connexion lorsqu'il tente d'accéder à une route protégée","local_nonReg","2026-02-20","passed","2026-02-20","","authentication/potected-routes.spec.ts","",""
"","5005","Le formulaire de réinitialisation du mot de passe affiche un message de succès même si l'email n'est pas enregistré (obfuscation)","local_nonReg","2026-02-20","passed","2026-02-20","","authentication/reset-password.spec.ts","",""
"","22520","Un utilisateur peut échanger du BTC contre de l'ETH avec succès","local_nonReg","2026-02-20","failed","2026-02-20","","trading/swap-cryptos.spec.ts","",""
"","22204","Un utilisateur peut échanger de l'ETH contre du BTC avec succès","local_nonReg","2026-02-20","failed","2026-02-20","","trading/swap-cryptos.spec.ts","",""
"","7310","Un utilisateur avec un compte verrouillé voit un message d'erreur approprié lors de la tentative de connexion","local_nonReg","2026-02-20","passed","2026-02-20","","authentication/sign-in.spec.ts","",""
"","22098","Le formulaire d'achat de cryptomonnaies affiche les messages d'erreur appropriés en cas de données invalides","local_nonReg","2026-02-20","failed","2026-02-20","","trading/buy-cryptos.spec.ts","",""
