"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24145","Un Utilisateur B2B peut compléter le flow d'onboarding avec succès","staging_nonReg","2026-02-21","failed","2026-02-21","","onboarding/complete-flows.spec.ts","",""
"","22220","Un utilisateur peut déposer des euros sur son compte via Open Banking avec succès","staging_nonReg","2026-02-21","failed","2026-02-21","","transfers/deposit.spec.ts","",""
"","11137","Un utilisateur peut réactiver sa session après une expiration temporaire sans être redirigé vers la page de connexion","staging_nonReg","2026-02-21","passed","2026-02-21","","authentication/session-timeout.spec.ts","",""
"","22283","Un utilisateur ne peut pas initier un retrait de cryptomonnaies s'il n'a pas d'adresse de retrait enregistrée","staging_nonReg","2026-02-21","failed","2026-02-21","","transfers/deposit.spec.ts","",""
"","119382","Un utilisateur est vérouillé après plusieurs tentatives de connexion infructueuses","staging_nonReg","2026-02-21","failed","2026-02-21","","authentication/locked-account.spec.ts","",""
"","78075","Un utilisateur peut se connecter avec des identifiants valides et sans 2FA","staging_nonReg","2026-02-21","failed","2026-02-21","","authentication/sign-in.spec.ts","",""
"","14414","Un utilisateur peut ajouter une adresse de retrait BTC avec succès","staging_nonReg","2026-02-21","failed","2026-02-21","","wallet/crypto-address.spec.ts","",""
"","60839","Un utilisateur peut réinitialiser son mot de passe avec succès via le lien envoyé par email","staging_nonReg","2026-02-21","failed","2026-02-21","","authentication/reset-password.spec.ts","",""
"","5937","Un utilisateur peut accéder à la page de réinitialisation du mot de passe depuis la page de connexion","staging_nonReg","2026-02-21","passed","2026-02-21","","authentication/sign-in.spec.ts","",""
"","78784","Un utilisateur ne peut pas se connecter avec un email non enregistré","staging_nonReg","2026-02-21","failed","2026-02-21","","authentication/sign-in.spec.ts","",""
"","7725","Le formulaire de réinitialisation du mot de passe affiche un message de succès même si l'email n'est pas enregistré (obfuscation)","staging_nonReg","2026-02-21","passed","2026-02-21","","authentication/reset-password.spec.ts","",""
"","112001","La page de présentation du Plan Bitcoin Famille est accessible et affiche les informations clés","staging_nonReg","2026-02-21","failed","2026-02-21","","investment/family-plan.spec.ts","",""
"","22068","Un utilisateur peut vendre du BTC au marché avec succès","staging_nonReg","2026-02-21","failed","2026-02-21","","trading/expert-mode.spec.ts","",""
"","1765","(clean) BTC Withdrawal Addresses","staging_clean","2026-02-21","passed","2026-02-21","","_clean/cleanTestAccount.clean.ts","",""
"","18880","Un utilisateur est automatiquement déconnecté après l'expiration de sa session","staging_nonReg","2026-02-21","passed","2026-02-21","","authentication/session-timeout.spec.ts","",""
"","22155","Un utilisateur peut effectuer un transfert interne entre ses comptes deposit->trading avec succès","staging_nonReg","2026-02-21","failed","2026-02-21","","transfers/internal-transfer.spec.ts","",""
"","22071","Un utilisateur peut acheter de l'ETH via une nouvelle carte de paiement avec succès","staging_nonReg","2026-02-21","failed","2026-02-21","","trading/buy-cryptos.spec.ts","",""
