"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","112975","Un utilisateur peut générer un nouvel export de transactions","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","history/export.spec.ts","",""
"","20002","Un utilisateur ne peut pas se connecter avec un email non enregistré","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","authentication/sign-in.spec.ts","",""
"","22677","Le formulaire de réinitialisation du mot de passe affiche les messages d'erreur appropriés en cas de données invalides","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","authentication/reset-password.spec.ts","",""
"","64062","Un utilisateur est vérouillé après plusieurs tentatives de connexion infructueuses","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","authentication/locked-account.spec.ts","",""
"","26799","Un utilisateur peut accéder à la page d'inscription depuis la page de connexion","sandbox_responsive_nonReg","2026-03-02","failed","2026-03-02","","authentication/sign-in.spec.ts","",""
"","31139","Un utilisateur ne peut pas se connecter avec un mot de passe incorrect","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","authentication/sign-in.spec.ts","",""
"","73031","Un utilisateur peut naviguer du dashboard vers l'achat d'USDC via la fiche crypto","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","navigation/dashboard-to-swap.spec.ts","",""
"","27875","Le formulaire de réinitialisation du mot de passe affiche un message de succès même si l'email n'est pas enregistré (obfuscation)","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","authentication/reset-password.spec.ts","",""
"","41817","La page d'export est accessible depuis l'historique et affiche le formulaire","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","history/export.spec.ts","",""
"","45747","L'onglet Retraits affiche les retraits avec les informations attendues","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","history/transaction-history.spec.ts","",""
"","30836","Un utilisateur est redirigé vers le dépôt EUR après connexion via /deposit/EUR","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","authentication/sign-in-redirection.spec.ts","",""
"","10520","Un utilisateur peut accepter tous les cookies et la modale se ferme","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","misc/cookies.spec.ts","",""
"","59446","Un utilisateur peut naviguer du dashboard vers l'achat de BTC via la fiche crypto","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","navigation/dashboard-to-swap.spec.ts","",""
"","81084","Un utilisateur peut accéder aux écrans d'achat, vente, dépôt et retrait via les boutons rapides du dashboard","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","navigation/dashboard.spec.ts","",""
"","20278","Un utilisateur avec un compte verrouillé voit un message d'erreur approprié lors de la tentative de connexion","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","authentication/sign-in.spec.ts","",""
"","19834","Un utilisateur peut naviguer et soumettre le formulaire de connexion au clavier","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","authentication/sign-in-ally.spec.ts","",""
"","59816","Un utilisateur peut naviguer entre les onglets de l'historique","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","history/transaction-history.spec.ts","",""
"","32999","Un utilisateur est redirigé vers le dashboard après connexion via /dashboard","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","authentication/sign-in-redirection.spec.ts","",""
"","59221","La déconnexion dans un onglet invalide la session dans un autre onglet","sandbox_responsive_nonReg","2026-03-02","failed","2026-03-02","","authentication/multi-sessions.spec.ts","",""
"","20720","Un utilisateur peut accéder à la page de réinitialisation du mot de passe depuis la page de connexion","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","authentication/sign-in.spec.ts","",""
"","31777","Un utilisateur est redirigé vers son profil après connexion via /profile/identity","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","authentication/sign-in-redirection.spec.ts","",""
"","11219","Un utilisateur peut refuser les cookies et la modale se ferme","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","misc/cookies.spec.ts","",""
"","8949","Le lien 'Gérer vos cookies' du footer ouvre la modale Axeptio","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","misc/cookies.spec.ts","",""
"","79364","La page de présentation du Plan Bitcoin Famille est accessible et affiche les informations clés","sandbox_responsive_nonReg","2026-03-02","failed","2026-03-02","","investment/family-plan.spec.ts","",""
"","66452","Un utilisateur peut accéder aux détails d'une crypto et naviguer vers achat/vente/dépôt/retrait depuis la fiche crypto","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","navigation/dashboard.spec.ts","",""
"","21906","La page de connexion respecte les règles d'accessibilité (axe-core)","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","authentication/sign-in-ally.spec.ts","",""
"","53316","Un utilisateur peut naviguer du dashboard vers la vente d'ETH via la fiche crypto","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","navigation/dashboard-to-swap.spec.ts","",""
"","35978","Un utilisateur peut se connecter avec des identifiants valides et sans 2FA","sandbox_responsive_nonReg","2026-03-02","failed","2026-03-02","","authentication/sign-in.spec.ts","",""
"","45538","Un utilisateur est automatiquement déconnecté après l'expiration de sa session","sandbox_responsive_nonReg","2026-03-02","failed","2026-03-02","","authentication/session-timeout.spec.ts","",""
"","31922","Un utilisateur est redirigé vers le wallet après connexion via /wallet","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","authentication/sign-in-redirection.spec.ts","",""
"","210602","La page de présentation du Plan Bitcoin Famille est accessible et affiche les informations clés à un utilisateur non connecté","sandbox_responsive_nonReg","2026-03-02","failed","2026-03-02","","investment/family-plan.spec.ts","",""
"","0","Un utilisateur peut réactiver sa session après une expiration temporaire sans être redirigé vers la page de connexion","sandbox_responsive_nonReg","2026-03-02","skipped","2026-03-02","","authentication/session-timeout.spec.ts","",""
"","128881","Un utilisateur peut réinitialiser son mot de passe avec succès via le lien envoyé par email","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","authentication/reset-password.spec.ts","",""
"","64457","Un utilisateur peut naviguer du dashboard vers la vente d'USDC via la fiche crypto","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","navigation/dashboard-to-swap.spec.ts","",""
"","64664","Un utilisateur peut activer et désactiver l'authentification à deux facteurs avec succès","sandbox_responsive_nonReg","2026-03-02","failed","2026-03-02","","authentication/two-factor-auth.spec.ts","",""
"","45868","L'onglet Ordres affiche les ordres avec les informations attendues","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","history/transaction-history.spec.ts","",""
"","24659","Un utilisateur non approuvé est redirigé vers la page d'onboarding incomplète après connexion","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","authentication/sign-in.spec.ts","",""
"","65905","Un utilisateur peut se déconnecter avec succès","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","authentication/sign-out.spec.ts","",""
"","71234","Un utilisateur peut naviguer du dashboard vers l'achat d'ETH via la fiche crypto","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","navigation/dashboard-to-swap.spec.ts","",""
"","178585","Un utilisateur non approuvé ne peut pas créer de plan famille et voit un message d'erreur approprié","sandbox_responsive_nonReg","2026-03-02","failed","2026-03-02","","investment/family-plan.spec.ts","",""
"","19899","Le widget flottant permet de ré-ouvrir la modale Axeptio","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","misc/cookies.spec.ts","",""
"","33007","Un utilisateur non authentifié est redirigé vers la page de connexion lorsqu'il tente d'accéder à une route protégée","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","authentication/protected-routes.spec.ts","",""
"","22550","La page de connexion avec des erreurs de formulaire respecte les règles d'accessibilité","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","authentication/sign-in-ally.spec.ts","",""
"","58194","L'historique des exports précédents est visible avec les boutons de téléchargement","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","history/export.spec.ts","",""
"","47820","La page d'historique est accessible et affiche les onglets de transactions","sandbox_responsive_nonReg","2026-03-02","failed","2026-03-02","","history/transaction-history.spec.ts","",""
"","29556","Un utilisateur sans paramètre redirect est redirigé vers le dashboard par défaut après connexion","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","authentication/sign-in-redirection.spec.ts","",""
"","64738","Un utilisateur peut naviguer du dashboard vers la vente de BTC via la fiche crypto","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","navigation/dashboard-to-swap.spec.ts","",""
"","149167","Cycle de vie d'un DCA et validations des formulaires","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","investment/dca.spec.ts","",""
"","16772","Le formulaire de connexion affiche les messages d'erreur appropriés en cas de données invalides","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","authentication/sign-in.spec.ts","",""
"","143282","Un utilisateur peut changer son mot de passe avec succès","sandbox_responsive_nonReg","2026-03-02","passed","2026-03-02","","account/change-password.spec.ts","",""
