"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13408","Le formulaire de connexion affiche les messages d'erreur appropriés en cas de données invalides","sandbox_desktop_nonReg","2026-03-02","passed","2026-03-02","","authentication/sign-in/form-validations.spec.ts","",""
"","76245","Un utilisateur peut vendre du BTC au marché avec succès","sandbox_desktop_nonReg","2026-03-02","failed","2026-03-02","","trading/expert-mode.spec.ts","",""
"","92835","Un utilisateur peut activer et désactiver l'authentification à deux facteurs avec succès","sandbox_desktop_nonReg","2026-03-02","passed","2026-03-02","","authentication/two-factor/back-and-forth.spec.ts","",""
"","38610","La modale de trading se ferme correctement lorsque l'utilisateur annule","sandbox_desktop_nonReg","2026-03-02","failed","2026-03-02","","trading/buy-cryptos.spec.ts","",""
"","25302","Un utilisateur peut accéder aux détails d'une crypto et naviguer vers achat/vente/dépôt/retrait depuis la fiche crypto","sandbox_desktop_nonReg","2026-03-02","passed","2026-03-02","","navigation/in-app/dashboard-market-list.spec.ts","",""
"","32014","Un utilisateur ne peut pas se connecter avec un mot de passe incorrect","sandbox_desktop_nonReg","2026-03-02","passed","2026-03-02","","authentication/sign-in/wrong-password.spec.ts","",""
"","17927","La page de connexion respecte les règles d'accessibilité (axe-core)","sandbox_desktop_nonReg","2026-03-02","passed","2026-03-02","","authentication/sign-in/axe-scan.spec.ts","",""
"","3119","Le lien 'Gérer vos cookies' du footer ouvre la modale Axeptio","sandbox_desktop_nonReg","2026-03-02","passed","2026-03-02","","cookies/axeptio/open-from-footer.spec.ts","",""
"","54328","Un Utilisateur B2C peut compléter le flow d'onboarding avec succès","sandbox_desktop_nonReg","2026-03-02","passed","2026-03-02","","onboarding/complete-flows.spec.ts","",""
"","30687","Un utilisateur peut réactiver sa session après une expiration temporaire sans être redirigé vers la page de connexion","sandbox_desktop_nonReg","2026-03-02","passed","2026-03-02","","authentication/session/session-timeout-reactivate.spec.ts","",""
"","27378","Un utilisateur peut naviguer du dashboard vers la vente d'USDC via la fiche crypto","sandbox_desktop_nonReg","2026-03-02","passed","2026-03-02","","navigation/to-sell/dashboard-to-usdc-sell.spec.ts","",""
"","67676","Un utilisateur peut générer un nouvel export de transactions","sandbox_desktop_nonReg","2026-03-02","passed","2026-03-02","","history/exports/export.spec.ts","",""
"","24965","Un utilisateur peut supprimer un bouton marchand avec succès","sandbox_desktop_nonReg","2026-03-02","passed","2026-03-02","","connections/merchant-buttons/delete.spec.ts","",""
"","28559","Le composant de swap (achat/vente/conversion) affiche les valeurs de prévisualisation correctes avant la confirmation","sandbox_desktop_nonReg","2026-03-02","passed","2026-03-02","","trading/swap-overlay.spec.ts","",""
"","36142","Un utilisateur peut envoyer des cryptomonnaies à un destinataire via son adresse email avec succès","sandbox_desktop_nonReg","2026-03-02","passed","2026-03-02","","transfers/send-by-email.spec.ts","",""
"","61471","Un utilisateur peut retirer des euros de son compte avec succès","sandbox_desktop_nonReg","2026-03-02","failed","2026-03-02","","transfers/withdraw.spec.ts","",""
"","24013","La page d'inscription B2B (entreprise) respecte les règles d'accessibilité (axe-core)","sandbox_desktop_nonReg","2026-03-02","passed","2026-03-02","","onboarding/accessibility.spec.ts","",""
"","38940","Un utilisateur peut envoyer des euros à un destinataire via son adresse email avec succès","sandbox_desktop_nonReg","2026-03-02","passed","2026-03-02","","transfers/send-by-email.spec.ts","",""
"","26952","Un utilisateur peut échanger du BTC contre de l'ETH avec succès","sandbox_desktop_nonReg","2026-03-02","failed","2026-03-02","","trading/swap-cryptos.spec.ts","",""
