"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","💹 Trading","5","Achat de cryptomonnaies","2","0","","0"
"0","🔐 Authentification","0","Réinitialisation du mot de passe","3","0","","0"
"0","🧭 Navigation","1","Navigation in-app","3","1","","0"
"0","🚀 Onboarding","0","Accessibilité des pages d'onboarding","3","0","","0"
"0","🧭 Navigation","0","Navigation Dashboard vers Achat/Vente","6","0","","0"
"0","💹 Trading","0","Accessibilité des pages de trading","4","0","","0"
"0","📜 Historique","1","Historique des transactions","3","0","","0"
"0","🧑‍💻 Gestion du compte","0","Changement de mot de passe","1","0","","0"
"0","🔐 Authentification","1","Expiration de session","0","0","","0"
"0","📈 Investissement","0","DCA (Achats récurrents)","1","0","Un utilisateur peut créer, éditer, mettre en pause, reprendre et stopper un DCA","0"
"0","💹 Trading","1","Mode Expert","4","0","","0"
"0","🔐 Authentification","0","Redirections après connexion","5","0","","0"
"0","🔐 Authentification","0","Vérouillage de compte","1","0","","0"
"0","📈 Investissement","3","Plan Bitcoin Famille","0","0","","0"
"0","🔐 Authentification","3","Connexion","5","0","","0"
"0","🔐 Authentification","0","Accessibilité de la page de connexion","3","0","","0"
"0","🍪 Cookies","0","Widget de gestion des cookies Axeptio","4","0","","0"
"0","🔐 Authentification","0","Déconnexion","1","0","","0"
"0","🚀 Onboarding","2","Flows complets d'onboarding","0","0","","0"
"0","","0","","0","1","","0"
"0","📜 Historique","0","Export des transactions","3","0","","0"
"0","🔐 Authentification","1","Authentification à deux facteurs","0","0","","0"
"0","🔐 Authentification","1","Gestion des sessions multiples","0","0","","0"
"0","🔐 Authentification","0","Routes protégées","1","0","","0"
"0","🔎 Support client","1","Tickets de support","0","0","","0"
