"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","🔐 Authentification","0","Routes publiques","1","0","","0"
"0","🔐 Authentification","0","Connexion","13","0","","0"
"0","💹 Trading","8","Achat de cryptomonnaies","0","0","","0"
"0","📜 Historique","2","Historique des transactions","2","0","","0"
"0","🔐 Authentification","1","Authentification à deux facteurs","3","0","","0"
"0","🧑‍💻 Gestion du compte","0","Changement de mot de passe","3","0","","0"
"0","📈 Investissement","3","Plan Bitcoin Famille","0","0","","0"
"0","📜 Historique","3","Export des transactions","0","0","","0"
"0","💹 Trading","3","Mode Expert","0","0","","0"
"0","🔐 Authentification","0","Routes protégées","1","0","","0"
"0","🔐 Authentification","0","Réinitialisation du mot de passe","3","0","","0"
"0","🧭 Navigation","4","Navigation in-app","0","1","","0"
"0","🧭 Navigation","2","Navigation vers achat de cryptomonnaies","1","0","","0"
"0","💹 Trading","0","Accessibilité des pages de trading","4","0","","0"
"0","🚀 Onboarding","2","Flows complets d'onboarding","0","0","","0"
"0","🍪 Cookies","1","Widget de gestion des cookies Axeptio","2","0","","0"
"0","🔗 Connexions tierces","4","Boutons marchands","0","0","","0"
"0","🔗 Connexions tierces","4","Tokens API","0","0","","0"
"0","🔐 Authentification","1","Gestion de session et expiration","2","0","","0"
"0","🔎 Support client","1","Tickets de support","0","0","","0"
"0","🔐 Authentification","0","Vérouillage de compte","1","0","","0"
"0","🚀 Onboarding","0","Accessibilité des pages d'onboarding","3","0","","0"
"0","🧭 Navigation","3","Navigation vers vente de cryptomonnaies","0","0","","0"
"0","📈 Investissement","1","DCA (Achats récurrents)","0","0","Un utilisateur peut créer, éditer, mettre en pause, reprendre et stopper un DCA","0"
"0","🔐 Authentification","0","Déconnexion","1","0","","0"
