"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","207514","Le formulaire de changement de mot de passe affiche les messages d'erreur appropriés en cas de données invalides","local_responsive_nonReg","2026-03-04","passed","2026-03-04","","account/change-password/form-validations.spec.ts","",""
"","90797","Un utilisateur est automatiquement déconnecté après l'expiration de sa session","local_responsive_nonReg","2026-03-04","failed","2026-03-04","","authentication/session/session-timeout-logout.spec.ts","",""
"","1318","Un utilisateur peut naviguer vers les principales sections du site via la barre de navigation","local_responsive_nonReg","2026-03-04","skipped","2026-03-04","","navigation/in-app/web-navbar.spec.ts","",""
"","68930","Un utilisateur peut créer un ticket de support, ajouter un commentaire, puis fermer le ticket","local_responsive_nonReg","2026-03-04","failed","2026-03-04","","support/support-tickets.spec.ts","",""
"","101658","Un utilisateur peut acheter du BTC via le compte de trading avec succès","local_responsive_nonReg","2026-03-04","passed","2026-03-04","","trading/buy-cryptos.spec.ts","",""
"","49249","La page de connexion avec des erreurs de formulaire respecte les règles d'accessibilité","local_responsive_nonReg","2026-03-04","passed","2026-03-04","","authentication/sign-in/axe-scan-errors.spec.ts","",""
"","43843","Un utilisateur peut naviguer du dashboard vers l'achat de BTC via la fiche crypto","local_responsive_nonReg","2026-03-04","passed","2026-03-04","","navigation/to-buy/dashboard-to-btc-buy.spec.ts","",""
"","55013","Le dashboard respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-04","passed","2026-03-04","","trading/accessibility.spec.ts","",""
"","125938","Un utilisateur est redirigé vers le dashboard après connexion via /dashboard","local_responsive_nonReg","2026-03-04","failed","2026-03-04","","authentication/sign-in/redirections.spec.ts","",""
"","43405","La page d'inscription B2B (entreprise) respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-04","passed","2026-03-04","","onboarding/accessibility.spec.ts","",""
"","53363","Le formulaire de connexion affiche les messages d'erreur appropriés en cas de données invalides","local_responsive_nonReg","2026-03-04","passed","2026-03-04","","authentication/sign-in/form-validations.spec.ts","",""
"","43762","La page de connexion respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-04","passed","2026-03-04","","authentication/sign-in/axe-scan.spec.ts","",""
"","52828","Un Utilisateur B2B peut compléter le flow d'onboarding avec succès","local_responsive_nonReg","2026-03-04","failed","2026-03-04","","onboarding/complete-flows.spec.ts","",""
"","39360","Un utilisateur ne peut pas se connecter avec un email non enregistré","local_responsive_nonReg","2026-03-04","passed","2026-03-04","","authentication/sign-in/unregistered.spec.ts","",""
"","241210","Un utilisateur peut réinitialiser son mot de passe avec succès via le lien envoyé par email","local_responsive_nonReg","2026-03-04","failed","2026-03-04","","authentication/reset-password/nominal.spec.ts","",""
"","89763","Un utilisateur est redirigé vers le wallet après connexion via /wallet","local_responsive_nonReg","2026-03-04","failed","2026-03-04","","authentication/sign-in/redirections.spec.ts","",""
"","32766","Un utilisateur peut vendre du BTC en ordre limite avec succès","local_responsive_nonReg","2026-03-04","failed","2026-03-04","","trading/expert-mode.spec.ts","",""
"","76331","La déconnexion dans un onglet invalide la session dans un autre onglet","local_responsive_nonReg","2026-03-04","failed","2026-03-04","","authentication/session/multi-sessions-invalidate.spec.ts","",""
"","259875","Un utilisateur peut activer et désactiver l'authentification à deux facteurs avec succès","local_responsive_nonReg","2026-03-04","passed","2026-03-04","","authentication/two-factor/back-and-forth.spec.ts","",""
"","114611","Un utilisateur ne peut pas activer l'authentification à deux facteurs avec un code incorrect","local_responsive_nonReg","2026-03-04","passed","2026-03-04","","authentication/two-factor/bad-code-activation.spec.ts","",""
"","91336","Le formulaire d'achat de cryptomonnaies affiche les messages d'erreur appropriés en cas de données invalides","local_responsive_nonReg","2026-03-04","failed","2026-03-04","","trading/buy-cryptos.spec.ts","",""
"","210036","Un utilisateur non authentifié est redirigé vers la page de connexion lorsqu'il tente d'accéder aux routes protégées","local_responsive_nonReg","2026-03-04","passed","2026-03-04","","authentication/protected-routes/unauthenticated-access.spec.ts","",""
"","37008","Un utilisateur peut naviguer du dashboard vers la vente de BTC via la fiche crypto","local_responsive_nonReg","2026-03-04","passed","2026-03-04","","navigation/to-sell/dashboard-to-btc-sell.spec.ts","",""
"","121785","Un utilisateur peut acheter de l'ETH via le compte de trading avec succès","local_responsive_nonReg","2026-03-04","failed","2026-03-04","","trading/buy-cryptos.spec.ts","",""
"","62089","Un utilisateur non approuvé est redirigé vers la page d'onboarding incomplète après connexion","local_responsive_nonReg","2026-03-04","passed","2026-03-04","","authentication/sign-in/resume-onboarding.spec.ts","",""
"","51110","Un utilisateur peut se déconnecter avec succès","local_responsive_nonReg","2026-03-04","failed","2026-03-04","","authentication/sign-out/nominal.spec.ts","",""
"","21708","La page de choix du type de compte respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-04","passed","2026-03-04","","onboarding/accessibility.spec.ts","",""
"","58300","Un Utilisateur B2C peut compléter le flow d'onboarding avec succès","local_responsive_nonReg","2026-03-04","failed","2026-03-04","","onboarding/complete-flows.spec.ts","",""
"","62074","Le portefeuille respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-04","passed","2026-03-04","","trading/accessibility.spec.ts","",""
"","93298","Un utilisateur voit un message d'erreur lorsque le paiement par carte échoue","local_responsive_nonReg","2026-03-04","failed","2026-03-04","","trading/buy-cryptos.spec.ts","",""
