"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","58182","La page d'inscription B2B (entreprise) respecte les règles d'accessibilité (axe-core)","local_desktop_nonReg","2026-03-05","passed","2026-03-05","","onboarding/accessibility.spec.ts","",""
"","807","Un utilisateur peut naviguer vers les principales sections du site via le menu responsive","local_desktop_nonReg","2026-03-05","skipped","2026-03-05","","navigation/in-app/responsive-menu.spec.ts","",""
"","32616","Un utilisateur peut naviguer entre les onglets de l'historique","local_desktop_nonReg","2026-03-05","passed","2026-03-05","","history/transactions-history/transaction-history.spec.ts","",""
"","28280","Un utilisateur peut vendre de l'USDC avec succès","local_desktop_nonReg","2026-03-05","failed","2026-03-05","","trading/sell-cryptos.spec.ts","",""
"","101310","Un utilisateur est redirigé vers le wallet après connexion via /wallet","local_desktop_nonReg","2026-03-05","passed","2026-03-05","","authentication/sign-in/redirections.spec.ts","",""
"","25016","Un utilisateur peut naviguer entre les onglets achat, vente et échange","local_desktop_nonReg","2026-03-05","passed","2026-03-05","","trading/swap-overlay.spec.ts","",""
"","62360","Un utilisateur peut naviguer du dashboard vers la vente de BTC via la fiche crypto","local_desktop_nonReg","2026-03-05","passed","2026-03-05","","navigation/to-sell/dashboard-to-btc-sell.spec.ts","",""
"","30684","Un utilisateur peut naviguer vers les principales sections du site via le menu utilisateur","local_desktop_nonReg","2026-03-05","passed","2026-03-05","","navigation/in-app/user-menu.spec.ts","",""
"","6596","Un utilisateur peut refuser les cookies et la modale se ferme","local_desktop_nonReg","2026-03-05","passed","2026-03-05","","cookies/axeptio/refuse-all.spec.ts","",""
"","50138","La page d'inscription B2C (email) respecte les règles d'accessibilité (axe-core)","local_desktop_nonReg","2026-03-05","passed","2026-03-05","","onboarding/accessibility.spec.ts","",""
"","38453","Un utilisateur peut effectuer un transfert interne entre ses comptes trading->deposit avec succès","local_desktop_nonReg","2026-03-05","failed","2026-03-05","","transfers/internal-transfer.spec.ts","",""
"","79671","Un utilisateur ne peut pas activer l'authentification à deux facteurs avec un code incorrect","local_desktop_nonReg","2026-03-05","passed","2026-03-05","","authentication/two-factor/bad-code-activation.spec.ts","",""
"","31467","La page de connexion avec des erreurs de formulaire respecte les règles d'accessibilité","local_desktop_nonReg","2026-03-05","passed","2026-03-05","","authentication/sign-in/axe-scan-errors.spec.ts","",""
"","134056","Un utilisateur peut acheter du BTC en ordre limite avec succès","local_desktop_nonReg","2026-03-05","failed","2026-03-05","","trading/expert-mode.spec.ts","",""
"","27826","Un utilisateur ne peut pas initier un retrait de cryptomonnaies s'il n'a pas d'adresse de retrait enregistrée","local_desktop_nonReg","2026-03-05","passed","2026-03-05","","transfers/deposit.spec.ts","",""
"","56914","Un utilisateur peut vendre du BTC au marché avec succès","local_desktop_nonReg","2026-03-05","failed","2026-03-05","","trading/expert-mode.spec.ts","",""
"","87067","Un utilisateur peut déposer des euros sur son compte via Open Banking avec succès","local_desktop_nonReg","2026-03-05","passed","2026-03-05","","transfers/deposit.spec.ts","",""
"","29388","Un utilisateur peut vendre de l'ETH avec succès","local_desktop_nonReg","2026-03-05","failed","2026-03-05","","trading/sell-cryptos.spec.ts","",""
"","113173","La déconnexion dans un onglet invalide la session dans un autre onglet","local_desktop_nonReg","2026-03-05","passed","2026-03-05","","authentication/session/multi-sessions-invalidate.spec.ts","",""
"","71769","Un utilisateur peut acheter du BTC via une nouvelle carte de paiement avec succès","local_desktop_nonReg","2026-03-05","failed","2026-03-05","","trading/buy-cryptos.spec.ts","",""
"","81196","Un utilisateur peut acheter de l'USDC via le compte de trading avec succès","local_desktop_nonReg","2026-03-05","failed","2026-03-05","","trading/buy-cryptos.spec.ts","",""
"","99503","Un utilisateur peut réinitialiser son mot de passe avec succès via le lien envoyé par email","local_desktop_nonReg","2026-03-05","passed","2026-03-05","","authentication/reset-password/nominal.spec.ts","",""
"","54626","Un utilisateur peut naviguer et soumettre le formulaire de connexion au clavier","local_desktop_nonReg","2026-03-05","passed","2026-03-05","","authentication/sign-in/keyboard-navigation.spec.ts","",""
"","68032","Le formulaire de changement de mot de passe affiche les messages d'erreur appropriés en cas de données invalides","local_desktop_nonReg","2026-03-05","passed","2026-03-05","","account/change-password/form-validations.spec.ts","",""
"","242525","Un utilisateur ne peut pas changer son mot de passe avec un mot de passe actuel incorrect","local_desktop_nonReg","2026-03-05","passed","2026-03-05","","account/change-password/bad-current-password.spec.ts","",""
"","314191","Un utilisateur non authentifié est redirigé vers la page de connexion lorsqu'il tente d'accéder aux routes protégées","local_desktop_nonReg","2026-03-05","passed","2026-03-05","","authentication/protected-routes/unauthenticated-access.spec.ts","",""
"","52717","Un utilisateur peut ajouter une adresse de retrait BTC avec succès","local_desktop_nonReg","2026-03-05","failed","2026-03-05","","wallet/crypto-address.spec.ts","",""
