"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","💹 Trading","0","Accessibilité des pages de trading","4","0","","0"
"0","💹 Trading","0","Vente de cryptomonnaies","3","0","","0"
"0","💹 Trading","1","Échange de cryptomonnaies","5","0","","0"
"0","🔗 Connexions tierces","1","Tokens API","3","0","","0"
"0","🔐 Authentification","6","Connexion","7","0","","0"
"0","💶 Portefeuille","1","Portefeuilles non hébergés","0","0","","0"
"0","📈 Investissement","3","Plan Bitcoin Famille","0","0","","0"
"0","💹 Trading","5","Mode Expert","0","0","","0"
"0","🧭 Navigation","0","Navigation vers vente de cryptomonnaies","3","0","","0"
"0","🔗 Connexions tierces","0","Boutons marchands","4","0","","0"
"0","🔄 Transferts","1","Dépôts","2","0","","0"
"0","💶 Portefeuille","1","Comptes bancaires","0","0","","0"
"0","💹 Trading","3","Achat de cryptomonnaies","5","0","","0"
"0","🧭 Navigation","2","Navigation in-app","2","1","","0"
"0","🔐 Authentification","2","Réinitialisation du mot de passe","1","0","","0"
"0","🍪 Cookies","0","Widget de gestion des cookies Axeptio","3","0","","0"
"0","📜 Historique","1","Historique des transactions","3","0","","0"
"0","💹 Trading","0","Formulaire de trading V2","2","0","","0"
"0","🚀 Onboarding","2","Flows complets d'onboarding","0","0","","0"
"0","🧭 Navigation","0","Navigation vers achat de cryptomonnaies","3","0","","0"
"0","🔄 Transferts","2","Transferts internes","0","0","","0"
"0","🔄 Transferts","2","Envoi par email","0","0","","0"
"0","🚀 Onboarding","0","Accessibilité des pages d'onboarding","3","0","","0"
"0","🔐 Authentification","3","Gestion de session et expiration","0","0","","0"
"0","🔐 Authentification","1","Déconnexion","0","0","","0"
"0","🔐 Authentification","0","Routes protégées","1","0","","0"
"0","📈 Investissement","0","DCA (Achats récurrents)","1","0","Un utilisateur peut créer, éditer, mettre en pause, reprendre et stopper un DCA","0"
"0","🔄 Transferts","3","Retraits","2","0","","0"
"0","💶 Portefeuille","1","Adresses de retrait de cryptomonnaies","0","0","","0"
"0","🔐 Authentification","0","Authentification à deux facteurs","4","0","","0"
"0","🧑‍💻 Gestion du compte","0","Changement de mot de passe","3","0","","0"
"0","🔎 Support client","0","Tickets de support","1","0","","0"
"0","📜 Historique","1","Export des transactions","2","0","","0"
"0","🔐 Authentification","0","Vérouillage de compte","1","0","","0"
"0","🔐 Authentification","0","Routes publiques","1","0","","0"
