"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44320","Le formulaire de changement de mot de passe affiche les messages d'erreur appropriés en cas de données invalides","local_responsive_nonReg","2026-03-05","passed","2026-03-05","","account/change-password/form-validations.spec.ts","",""
"","47152","Un utilisateur est redirigé vers le dashboard après connexion via /dashboard","local_responsive_nonReg","2026-03-05","passed","2026-03-05","","authentication/sign-in/redirections.spec.ts","",""
"","142025","Un utilisateur ne peut pas activer l'authentification à deux facteurs avec un code incorrect","local_responsive_nonReg","2026-03-05","passed","2026-03-05","","authentication/two-factor/bad-code-activation.spec.ts","",""
"","17960","Un utilisateur peut naviguer et soumettre le formulaire de connexion au clavier","local_responsive_nonReg","2026-03-05","passed","2026-03-05","","authentication/sign-in/keyboard-navigation.spec.ts","",""
"","21358","La page de connexion avec des erreurs de formulaire respecte les règles d'accessibilité","local_responsive_nonReg","2026-03-05","passed","2026-03-05","","authentication/sign-in/axe-scan-errors.spec.ts","",""
"","43124","Le formulaire de réinitialisation du mot de passe affiche les messages d'erreur appropriés en cas de données invalides","local_responsive_nonReg","2026-03-05","failed","2026-03-05","","authentication/reset-password/form-validations.spec.ts","",""
"","20973","La page de connexion respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-05","passed","2026-03-05","","authentication/sign-in/axe-scan.spec.ts","",""
"","25687","Le formulaire de réinitialisation du mot de passe affiche un message de succès même si l'email n'est pas enregistré (obfuscation)","local_responsive_nonReg","2026-03-05","passed","2026-03-05","","authentication/reset-password/unregistered.spec.ts","",""
"","44722","Un utilisateur est automatiquement déconnecté après l'expiration de sa session","local_responsive_nonReg","2026-03-05","failed","2026-03-05","","authentication/session/session-timeout-logout.spec.ts","",""
"","199431","Un utilisateur peut changer son mot de passe avec succès","local_responsive_nonReg","2026-03-05","passed","2026-03-05","","account/change-password/nominal.spec.ts","",""
"","139137","Un utilisateur est vérouillé après plusieurs tentatives de connexion infructueuses","local_responsive_nonReg","2026-03-05","passed","2026-03-05","","authentication/locked-account/nominal.spec.ts","",""
"","52534","La déconnexion dans un onglet invalide la session dans un autre onglet","local_responsive_nonReg","2026-03-05","failed","2026-03-05","","authentication/session/multi-sessions-invalidate.spec.ts","",""
"","18864","Un utilisateur ne peut pas se connecter avec un email non enregistré","local_responsive_nonReg","2026-03-05","passed","2026-03-05","","authentication/sign-in/unregistered.spec.ts","",""
"","43986","Un utilisateur est redirigé vers le wallet après connexion via /wallet","local_responsive_nonReg","2026-03-05","passed","2026-03-05","","authentication/sign-in/redirections.spec.ts","",""
"","315875","Un utilisateur peut activer et désactiver l'authentification à deux facteurs avec succès","local_responsive_nonReg","2026-03-05","passed","2026-03-05","","authentication/two-factor/back-and-forth.spec.ts","",""
"","45536","Un utilisateur est redirigé vers le dépôt EUR après connexion via /deposit/EUR","local_responsive_nonReg","2026-03-05","passed","2026-03-05","","authentication/sign-in/redirections.spec.ts","",""
"","16525","Le formulaire de connexion affiche les messages d'erreur appropriés en cas de données invalides","local_responsive_nonReg","2026-03-05","passed","2026-03-05","","authentication/sign-in/form-validations.spec.ts","",""
"","121510","Un utilisateur ne peut pas se connecter avec un mot de passe incorrect","local_responsive_nonReg","2026-03-05","passed","2026-03-05","","authentication/sign-in/wrong-password.spec.ts","",""
"","165132","Un utilisateur non authentifié est redirigé vers la page de connexion lorsqu'il tente d'accéder aux routes protégées","local_responsive_nonReg","2026-03-05","passed","2026-03-05","","authentication/protected-routes/unauthenticated-access.spec.ts","",""
"","50448","Un utilisateur sans paramètre redirect est redirigé vers le dashboard par défaut après connexion","local_responsive_nonReg","2026-03-05","passed","2026-03-05","","authentication/sign-in/redirections.spec.ts","",""
"","36379","Un utilisateur non authentifié peut accéder aux routes publiques sans être redirigé vers la page de connexion","local_responsive_nonReg","2026-03-05","passed","2026-03-05","","authentication/public-routes/unauthenticated-access.spec.ts","",""
"","44615","Un utilisateur est redirigé vers son profil après connexion via /profile/identity","local_responsive_nonReg","2026-03-05","passed","2026-03-05","","authentication/sign-in/redirections.spec.ts","",""
"","416213","Un utilisateur ne peut pas changer son mot de passe avec un mot de passe actuel incorrect","local_responsive_nonReg","2026-03-05","passed","2026-03-05","","account/change-password/bad-current-password.spec.ts","",""
"","41933","Un utilisateur peut se déconnecter avec succès","local_responsive_nonReg","2026-03-05","failed","2026-03-05","","authentication/sign-out/nominal.spec.ts","",""
"","26128","Un utilisateur peut se connecter avec des identifiants valides et sans 2FA","local_responsive_nonReg","2026-03-05","passed","2026-03-05","","authentication/sign-in/nominal.spec.ts","",""
"","44433","Un utilisateur peut réactiver sa session après une expiration temporaire sans être redirigé vers la page de connexion","local_responsive_nonReg","2026-03-05","failed","2026-03-05","","authentication/session/session-timeout-reactivate.spec.ts","",""
"","43938","Un utilisateur peut réinitialiser son mot de passe avec succès via le lien envoyé par email","local_responsive_nonReg","2026-03-05","failed","2026-03-05","","authentication/reset-password/nominal.spec.ts","",""
"","33148","Un utilisateur non approuvé est redirigé vers la page d'onboarding incomplète après connexion","local_responsive_nonReg","2026-03-05","passed","2026-03-05","","authentication/sign-in/resume-onboarding.spec.ts","",""
