"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","🔄 Transferts","3","Retraits","2","0","","0"
"0","💹 Trading","0","Accessibilité des pages de trading","4","0","","0"
"0","💶 Portefeuille","1","Portefeuilles non hébergés","0","0","","0"
"0","🔐 Authentification","0","Connexion","13","0","","0"
"0","💹 Trading","5","Achat de cryptomonnaies","3","0","","0"
"0","🚀 Onboarding","2","Flows complets d'onboarding","0","0","","0"
"0","🔄 Transferts","3","Dépôts","0","0","","0"
"0","🧭 Navigation","1","Navigation vers vente de cryptomonnaies","2","0","","0"
"0","🔐 Authentification","1","Déconnexion","0","0","","0"
"0","🚀 Onboarding","0","Accessibilité des pages d'onboarding","3","0","","0"
"0","💹 Trading","1","Échange de cryptomonnaies","5","0","","0"
"0","🔐 Authentification","2","Réinitialisation du mot de passe","1","0","","0"
"0","🔄 Transferts","2","Transferts internes","0","0","","0"
"0","💹 Trading","2","Vente de cryptomonnaies","1","0","","0"
"0","💹 Trading","5","Mode Expert","0","0","","0"
"0","🧭 Navigation","2","Navigation vers achat de cryptomonnaies","1","0","","0"
"0","💶 Portefeuille","1","Adresses de retrait de cryptomonnaies","0","0","","0"
"0","🔎 Support client","1","Tickets de support","0","0","","0"
"0","💹 Trading","1","Formulaire de trading V2","1","0","","0"
"0","🔐 Authentification","0","Vérouillage de compte","1","0","","0"
"0","💶 Portefeuille","1","Comptes bancaires","0","0","","0"
"0","🧭 Navigation","0","Navigation in-app","0","1","","0"
"0","🔐 Authentification","0","Authentification à deux facteurs","2","0","","0"
"0","🔐 Authentification","3","Gestion de session et expiration","0","0","","0"
"0","🧑‍💻 Gestion du compte","0","Changement de mot de passe","3","0","","0"
"0","🔄 Transferts","2","Envoi par email","0","0","","0"
"0","🔐 Authentification","0","Routes publiques","1","0","","0"
"0","🔐 Authentification","0","Routes protégées","1","0","","0"
