"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","333","Un utilisateur peut naviguer vers les principales sections du site via le menu responsive","sandbox_desktop_nonReg","2026-03-07","skipped","2026-03-07","","navigation/in-app/responsive-menu.spec.ts","",""
"","45736","Un utilisateur peut ajouter un portefeuille non hébergé avec succès","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","wallet/unhosted-wallets.spec.ts","",""
"","33818","Un utilisateur peut échanger de l'USDC contre du BTC avec succès","sandbox_desktop_nonReg","2026-03-07","failed","2026-03-07","","trading/swap-cryptos.spec.ts","",""
"","229001","Un utilisateur peut réinitialiser son mot de passe avec succès via le lien envoyé par email","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","authentication/reset-password/nominal.spec.ts","",""
"","66623","Le formulaire de réinitialisation du mot de passe affiche un message de succès même si l'email n'est pas enregistré (obfuscation)","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","authentication/reset-password/unregistered.spec.ts","",""
"","45501","Un utilisateur peut effectuer un transfert interne entre ses comptes deposit->trading avec succès","sandbox_desktop_nonReg","2026-03-07","failed","2026-03-07","","transfers/internal-transfer.spec.ts","",""
"","39223","Un utilisateur non authentifié peut accéder aux routes publiques sans être redirigé vers la page de connexion","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","authentication/public-routes/unauthenticated-access.spec.ts","",""
"","63728","Un utilisateur peut acheter du BTC au marché avec succès","sandbox_desktop_nonReg","2026-03-07","failed","2026-03-07","","trading/expert-mode.spec.ts","",""
"","21169","Un utilisateur voit un message d'erreur lorsque le paiement par carte échoue","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","trading/buy-cryptos.spec.ts","",""
"","34205","Un utilisateur est redirigé vers son profil après connexion via /profile/identity","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","authentication/sign-in/redirections.spec.ts","",""
"","81642","Le formulaire de réinitialisation du mot de passe affiche les messages d'erreur appropriés en cas de données invalides","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","authentication/reset-password/form-validations.spec.ts","",""
"","17635","La page d'inscription B2C (email) respecte les règles d'accessibilité (axe-core)","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","onboarding/accessibility.spec.ts","",""
"","40925","Un utilisateur ne peut pas changer son mot de passe avec un mot de passe actuel incorrect","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","account/change-password/bad-current-password.spec.ts","",""
"","18906","Un utilisateur peut créer un token API avec succès","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","connections/api-tokens/create-nominal.spec.ts","",""
"","50325","Un utilisateur peut activer et désactiver l'authentification à deux facteurs avec succès","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","authentication/two-factor/back-and-forth.spec.ts","",""
"","24546","Le formulaire de création de bouton marchand affiche les messages d'erreur appropriés en cas de données invalides","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","connections/merchant-buttons/create-nominal.spec.ts","",""
"","30011","Un utilisateur peut supprimer un token API avec succès","sandbox_desktop_nonReg","2026-03-07","failed","2026-03-07","","connections/api-tokens/delete-nominal.spec.ts","",""
"","28829","Un utilisateur peut se connecter avec des identifiants valides et sans 2FA","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","authentication/sign-in/nominal.spec.ts","",""
"","27571","Le dashboard respecte les règles d'accessibilité (axe-core)","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","trading/accessibility.spec.ts","",""
"","71415","Un utilisateur peut annuler un ordre actif BTC avec succès","sandbox_desktop_nonReg","2026-03-07","failed","2026-03-07","","trading/expert-mode.spec.ts","",""
"","22146","La page de connexion avec des erreurs de formulaire respecte les règles d'accessibilité","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","authentication/sign-in/axe-scan-errors.spec.ts","",""
"","38636","La page de présentation du Plan Bitcoin Famille est accessible et affiche les informations clés à un utilisateur non connecté","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","investment/family-plan.spec.ts","",""
"","21944","La modale de trading se ferme correctement lorsque l'utilisateur annule","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","trading/buy-cryptos.spec.ts","",""
"","111767","Un utilisateur non approuvé ne peut pas créer de plan famille et voit un message d'erreur approprié","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","investment/family-plan.spec.ts","",""
"","18009","Un utilisateur peut naviguer du dashboard vers la vente de BTC via la fiche crypto","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","navigation/to-sell/dashboard-to-btc-sell.spec.ts","",""
"","22457","Le formulaire de création de bouton marchand affiche les messages d'erreur appropriés en cas de données invalides","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","connections/merchant-buttons/create-form-validations.spec.ts","",""
"","44140","Un utilisateur peut créer un ticket de support, ajouter un commentaire, puis fermer le ticket","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","support/support-tickets.spec.ts","",""
"","22620","Le formulaire d'achat de cryptomonnaies affiche les messages d'erreur appropriés en cas de données invalides","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","trading/buy-cryptos.spec.ts","",""
"","62842","Un utilisateur peut ajouter une adresse de retrait BTC avec succès","sandbox_desktop_nonReg","2026-03-07","failed","2026-03-07","","wallet/crypto-address.spec.ts","",""
"","3928","Un utilisateur peut refuser les cookies et la modale se ferme","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","cookies/axeptio/refuse-all.spec.ts","",""
"","37376","Un utilisateur est redirigé vers le wallet après connexion via /wallet","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","authentication/sign-in/redirections.spec.ts","",""
"","28300","Un utilisateur peut se déconnecter avec succès","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","authentication/sign-out/nominal.spec.ts","",""
"","23223","Un utilisateur peut prévisualiser un bouton marchand une fois créé","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","connections/merchant-buttons/preview.spec.ts","",""
"","20291","La page de connexion respecte les règles d'accessibilité (axe-core)","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","authentication/sign-in/axe-scan.spec.ts","",""
"","17115","Un utilisateur peut naviguer du dashboard vers l'achat de BTC via la fiche crypto","sandbox_desktop_nonReg","2026-03-07","failed","2026-03-07","","navigation/to-buy/dashboard-to-btc-buy.spec.ts","",""
"","55178","Un utilisateur peut générer un nouvel export de transactions","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","history/exports/export.spec.ts","",""
"","46202","Un utilisateur peut envoyer des euros à un destinataire via son adresse email avec succès","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","transfers/send-by-email.spec.ts","",""
"","23949","Un utilisateur ne peut pas initier un retrait de cryptomonnaies s'il n'a pas d'adresse de retrait enregistrée","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","transfers/deposit.spec.ts","",""
"","31662","La page de présentation du Plan Bitcoin Famille est accessible et affiche les informations clés","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","investment/family-plan.spec.ts","",""
"","11964","La page de choix du type de compte respecte les règles d'accessibilité (axe-core)","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","onboarding/accessibility.spec.ts","",""
"","41646","Un Utilisateur B2C peut compléter le flow d'onboarding avec succès","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","onboarding/complete-flows.spec.ts","",""
"","60796","Un utilisateur peut déposer des euros sur son compte via Open Banking avec succès","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","transfers/deposit.spec.ts","",""
"","41448","Un utilisateur peut échanger du BTC contre de l'ETH avec succès","sandbox_desktop_nonReg","2026-03-07","failed","2026-03-07","","trading/swap-cryptos.spec.ts","",""
"","103184","Un Utilisateur B2B peut compléter le flow d'onboarding avec succès","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","onboarding/complete-flows.spec.ts","",""
"","144135","Un utilisateur non authentifié est redirigé vers la page de connexion lorsqu'il tente d'accéder aux routes protégées","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","authentication/protected-routes/unauthenticated-access.spec.ts","",""
"","44046","Le mode expert respecte les règles d'accessibilité (axe-core)","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","trading/accessibility.spec.ts","",""
"","21010","Un utilisateur peut accéder aux écrans d'achat, vente, dépôt et retrait via les boutons rapides du dashboard","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","navigation/in-app/dashboard-quick-actions.spec.ts","",""
"","48359","Un utilisateur non approuvé ne peut pas initier un retrait et voit un message d'erreur approprié","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","transfers/withdraw.notApproved.spec.ts","",""
"","17311","Un utilisateur peut naviguer du dashboard vers la vente d'ETH via la fiche crypto","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","navigation/to-sell/dashboard-to-eth-sell.spec.ts","",""
"","81344","Un utilisateur avec l'authentification à deux facteurs activée ne peut pas se connecter avec un code 2FA incorrect","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","authentication/two-factor/bad-code-login.spec.ts","",""
"","18191","L'onglet Retraits affiche les retraits avec les informations attendues","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","history/transactions-history/transaction-history.spec.ts","",""
"","23178","La page d'achat/vente respecte les règles d'accessibilité (axe-core)","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","trading/accessibility.spec.ts","",""
"","30540","Un utilisateur peut naviguer entre les onglets achat, vente et échange","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","trading/swap-overlay.spec.ts","",""
"","18309","Un utilisateur peut naviguer du dashboard vers l'achat d'USDC via la fiche crypto","sandbox_desktop_nonReg","2026-03-07","failed","2026-03-07","","navigation/to-buy/dashboard-to-usdc-buy.spec.ts","",""
"","50394","Un utilisateur peut retirer des euros de son compte avec succès","sandbox_desktop_nonReg","2026-03-07","failed","2026-03-07","","transfers/withdraw.spec.ts","",""
"","139515","Un utilisateur ne peut pas activer l'authentification à deux facteurs avec un code incorrect","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","authentication/two-factor/bad-code-activation.spec.ts","",""
"","38723","Un utilisateur est redirigé vers le dashboard après connexion via /dashboard","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","authentication/sign-in/redirections.spec.ts","",""
"","33570","Un utilisateur sans paramètre redirect est redirigé vers le dashboard par défaut après connexion","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","authentication/sign-in/redirections.spec.ts","",""
"","19098","Un utilisateur peut acheter de l'ETH via une nouvelle carte de paiement avec succès","sandbox_desktop_nonReg","2026-03-07","failed","2026-03-07","","trading/buy-cryptos.spec.ts","",""
"","27280","Le portefeuille respecte les règles d'accessibilité (axe-core)","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","trading/accessibility.spec.ts","",""
"","18228","Le formulaire de connexion affiche les messages d'erreur appropriés en cas de données invalides","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","authentication/sign-in/form-validations.spec.ts","",""
"","73429","Un utilisateur peut acheter du BTC en ordre limite avec succès","sandbox_desktop_nonReg","2026-03-07","failed","2026-03-07","","trading/expert-mode.spec.ts","",""
"","18948","L'onglet Ordres affiche les ordres avec les informations attendues","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","history/transactions-history/transaction-history.spec.ts","",""
"","2013","Le lien 'Gérer vos cookies' du footer ouvre la modale Axeptio","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","cookies/axeptio/open-from-footer.spec.ts","",""
"","42272","Un utilisateur peut échanger du BTC contre de l'USDC avec succès","sandbox_desktop_nonReg","2026-03-07","failed","2026-03-07","","trading/swap-cryptos.spec.ts","",""
"","20080","Un utilisateur peut naviguer vers les principales sections du site via le menu utilisateur","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","navigation/in-app/user-menu.spec.ts","",""
"","32099","Un utilisateur peut échanger de l'USDC contre de l'ETH avec succès","sandbox_desktop_nonReg","2026-03-07","failed","2026-03-07","","trading/swap-cryptos.spec.ts","",""
"","30460","Un utilisateur non approuvé est redirigé vers la page d'onboarding incomplète après connexion","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","authentication/sign-in/resume-onboarding.spec.ts","",""
"","53390","Un utilisateur est vérouillé après plusieurs tentatives de connexion infructueuses","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","authentication/locked-account/nominal.spec.ts","",""
"","236029","Le formulaire de changement de mot de passe affiche les messages d'erreur appropriés en cas de données invalides","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","account/change-password/form-validations.spec.ts","",""
"","28551","Un utilisateur peut vendre de l'ETH avec succès","sandbox_desktop_nonReg","2026-03-07","failed","2026-03-07","","trading/sell-cryptos.spec.ts","",""
"","17130","La page d'export est accessible depuis l'historique et affiche le formulaire","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","history/exports/export.spec.ts","",""
"","46492","Un utilisateur peut envoyer des cryptomonnaies à un destinataire via son adresse email avec succès","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","transfers/send-by-email.spec.ts","",""
"","18104","Un utilisateur peut acheter de l'USDC via le compte de trading avec succès","sandbox_desktop_nonReg","2026-03-07","failed","2026-03-07","","trading/buy-cryptos.spec.ts","",""
"","55365","Un utilisateur peut ajouter un compte bancaire avec succès","sandbox_desktop_nonReg","2026-03-07","passed","2026-03-07","","wallet/bank-account.spec.ts","",""
"","47752","Un utilisateur peut vendre du BTC en ordre limite avec succès","sandbox_desktop_nonReg","2026-03-07","failed","2026-03-07","","trading/expert-mode.spec.ts","",""
