"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","108502","Un utilisateur peut acheter de l'USDC via le compte de trading avec succès","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","trading/buy-cryptos/buy-usdc-trading-account.spec.ts","",""
"","141278","Un utilisateur peut acheter du BTC au marché avec succès","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","trading/expert-mode/buy-btc-market.spec.ts","",""
"","55402","Un utilisateur peut réinitialiser son mot de passe avec succès via le lien envoyé par email","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","authentication/reset-password/nominal.spec.ts","",""
"","52066","Un Utilisateur B2B peut compléter le flow d'onboarding avec succès","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","onboarding/complete-flows/b2b.spec.ts","",""
"","74447","Un utilisateur non authentifié peut accéder aux routes publiques sans être redirigé vers la page de connexion","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","authentication/public-routes/unauthenticated-access.spec.ts","",""
"","169226","Un utilisateur peut acheter du BTC en ordre limite avec succès","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","trading/expert-mode/buy-btc-limit.spec.ts","",""
"","143268","Un utilisateur peut annuler un ordre actif BTC avec succès","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","trading/expert-mode/cancel-active-order.spec.ts","",""
"","91273","Un utilisateur ne peut pas changer son mot de passe avec un mot de passe actuel incorrect","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","account/change-password/bad-current-password.spec.ts","",""
"","55327","Un utilisateur non approuvé est redirigé vers la page d'onboarding incomplète après connexion","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","authentication/sign-in/resume-onboarding.spec.ts","",""
"","68450","Un utilisateur peut naviguer du dashboard vers la vente de BTC via la fiche crypto","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","navigation/to-sell/dashboard-to-btc-sell.spec.ts","",""
"","69836","Un utilisateur peut acheter du BTC via le compte de trading avec succès","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","trading/buy-cryptos/buy-btc-trading-account.spec.ts","",""
"","104080","Un utilisateur est automatiquement déconnecté après l'expiration de sa session","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","authentication/session/session-timeout-logout.spec.ts","",""
"","53460","Un Utilisateur B2C peut compléter le flow d'onboarding avec succès","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","onboarding/complete-flows/b2c.spec.ts","",""
"","83152","Un utilisateur est redirigé vers le dashboard après connexion via /dashboard","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","117328","Le portefeuille respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","accessibility.spec.ts","",""
"","41173","Un utilisateur peut naviguer vers les principales sections du site via le menu responsive","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","navigation/in-app/responsive-menu.spec.ts","",""
"","45175","La page d'achat/vente respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","accessibility.spec.ts","",""
"","76973","Un utilisateur peut naviguer du dashboard vers la vente d'ETH via la fiche crypto","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","navigation/to-sell/dashboard-to-eth-sell.spec.ts","",""
"","68787","Un utilisateur peut naviguer du dashboard vers l'achat d'ETH via la fiche crypto","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","navigation/to-buy/dashboard-to-eth-buy.spec.ts","",""
"","83014","Un utilisateur peut naviguer vers les principales sections du site via le menu utilisateur","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","navigation/in-app/user-menu.spec.ts","",""
"","122350","Un utilisateur ne peut pas se connecter avec un mot de passe incorrect","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","authentication/sign-in/wrong-password.spec.ts","",""
"","123471","La déconnexion dans un onglet invalide la session dans un autre onglet","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","authentication/session/multi-sessions-invalidate.spec.ts","",""
"","30072","Le formulaire de réinitialisation du mot de passe affiche un message de succès même si l'email n'est pas enregistré (obfuscation)","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","authentication/reset-password/unregistered.spec.ts","",""
"","31173","La page d'inscription B2B (entreprise) respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","onboarding/accessibility.spec.ts","",""
"","113029","Un utilisateur peut acheter du BTC via une nouvelle carte de paiement avec succès","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","trading/buy-cryptos/buy-btc-payment-card.spec.ts","",""
"","72189","Un utilisateur voit un message d'erreur lorsque le paiement par carte échoue","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","trading/buy-cryptos/payment-failure.spec.ts","",""
"","127113","Un utilisateur peut acheter de l'ETH via le compte de trading avec succès","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","trading/buy-cryptos/buy-eth-trading-account.spec.ts","",""
"","56538","Le dashboard respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","accessibility.spec.ts","",""
"","57020","Un utilisateur peut acheter de l'ETH via une nouvelle carte de paiement avec succès","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","trading/buy-cryptos/buy-eth-payment-card.spec.ts","",""
"","31129","La page de choix du type de compte respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","onboarding/accessibility.spec.ts","",""
"","124494","Un utilisateur peut créer un ticket de support, ajouter un commentaire, puis fermer le ticket","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","support/support-tickets.spec.ts","",""
"","142864","La modale de trading se ferme correctement lorsque l'utilisateur annule","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","trading/buy-cryptos/cancel-payment.spec.ts","",""
"","46144","La page de connexion avec des erreurs de formulaire respecte les règles d'accessibilité","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","authentication/sign-in-ally/axe-scan-errors.spec.ts","",""
"","31868","La page de connexion respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","authentication/sign-in-ally/axe-scan.spec.ts","",""
"","89406","Le formulaire de changement de mot de passe affiche les messages d'erreur appropriés en cas de données invalides","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","account/change-password/form-validations.spec.ts","",""
"","113767","Un utilisateur peut vendre du BTC en ordre limite avec succès","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","trading/expert-mode/sell-btc-limit.spec.ts","",""
"","62360","Le formulaire de connexion affiche les messages d'erreur appropriés en cas de données invalides","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","authentication/sign-in/form-validations.spec.ts","",""
"","72963","Un utilisateur peut naviguer du dashboard vers l'achat de BTC via la fiche crypto","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","navigation/to-buy/dashboard-to-btc-buy.spec.ts","",""
"","177012","Un utilisateur est redirigé vers le dépôt EUR après connexion via /deposit/EUR","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","71218","Un utilisateur est redirigé vers le wallet après connexion via /wallet","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","393522","Un utilisateur non authentifié est redirigé vers la page de connexion lorsqu'il tente d'accéder aux routes protégées","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","authentication/protected-routes/unauthenticated-access.spec.ts","",""
"","46920","Un utilisateur peut naviguer du dashboard vers la vente d'USDC via la fiche crypto","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","navigation/to-sell/dashboard-to-usdc-sell.spec.ts","",""
"","41357","Le formulaire d'achat de cryptomonnaies affiche les messages d'erreur appropriés en cas de données invalides","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","trading/buy-cryptos/form-validations.spec.ts","",""
"","95318","Un utilisateur peut se connecter avec des identifiants valides et sans 2FA","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","authentication/sign-in/nominal.spec.ts","",""
"","134417","Un utilisateur peut réactiver sa session après une expiration temporaire sans être redirigé vers la page de connexion","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","authentication/session/session-timeout-reactivate.spec.ts","",""
"","116128","Un utilisateur peut changer son mot de passe avec succès","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","account/change-password/nominal.spec.ts","",""
"","71498","Le mode expert respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","accessibility.spec.ts","",""
"","41446","Un utilisateur peut naviguer et soumettre le formulaire de connexion au clavier","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","authentication/sign-in-ally/keyboard-navigation.spec.ts","",""
"","39667","La page d'inscription B2C (email) respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","onboarding/accessibility.spec.ts","",""
"","255464","Un utilisateur est vérouillé après plusieurs tentatives de connexion infructueuses","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","authentication/locked-account/nominal.spec.ts","",""
"","50391","Un utilisateur ne peut pas se connecter avec un email non enregistré","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","authentication/sign-in/unregistered.spec.ts","",""
"","56935","Le formulaire de réinitialisation du mot de passe affiche les messages d'erreur appropriés en cas de données invalides","local_responsive_nonReg","2026-03-12","failed","2026-03-12","","authentication/reset-password/form-validations.spec.ts","",""
"","2381","Un utilisateur peut naviguer vers les principales sections du site via la barre de navigation","local_responsive_nonReg","2026-03-12","skipped","2026-03-12","","navigation/in-app/web-navbar.spec.ts","",""
"","61738","Un utilisateur peut naviguer du dashboard vers l'achat d'USDC via la fiche crypto","local_responsive_nonReg","2026-03-12","passed","2026-03-12","","navigation/to-buy/dashboard-to-usdc-buy.spec.ts","",""
