"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","🔐 Authentification","0","Authentification à deux facteurs","3","0","","0"
"0","🧭 Navigation","0","Navigation vers achat de cryptomonnaies","1","0","","0"
"1","🚀 Onboarding","0","Flows complets d'onboarding","0","0","","0"
"0","🔐 Authentification","0","Connexion","2","0","","0"
"1","📜 Historique","0","Export des transactions","0","0","","0"
"0","🔐 Authentification","0","Déconnexion","1","0","","0"
"0","📈 Investissement","0","Plan Bitcoin Famille","1","0","","0"
"0","📈 Investissement","0","DCA (Achats récurrents)","1","0","","0"
"1","💶 Portefeuille","0","Adresses de retrait de cryptomonnaies","0","0","","0"
"0","📜 Historique","0","Historique des transactions","1","0","","0"
"1","🔄 Transferts","0","Transferts internes","0","0","","0"
"0","🧭 Navigation","0","Navigation in-app","1","0","","0"
"1","🔄 Transferts","0","Dépôts","0","0","","0"
