"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","170242","Les formulaires d'activation et de désactivation de l'authentification à deux facteurs affichent les messages d'erreur appropriés en cas de données invalides","","2026-03-12","passed","2026-03-12","","","",""
"","150131","Un utilisateur peut naviguer du dashboard vers l'achat d'ETH via la fiche crypto","","2026-03-12","passed","2026-03-12","","","",""
"","239874","Un utilisateur avec l'authentification à deux facteurs activée ne peut pas se connecter avec un code 2FA incorrect","","2026-03-12","passed","2026-03-12","","","",""
"","101541","Un Utilisateur B2B peut compléter le flow d'onboarding avec succès","","2026-03-12","broken","2026-03-12","","","",""
"","91544","Un utilisateur ne peut pas se connecter avec un email non enregistré","","2026-03-12","passed","2026-03-12","","","",""
"","139603","Un utilisateur peut générer un nouvel export de transactions","","2026-03-12","broken","2026-03-12","","","",""
"","187771","Un utilisateur peut se déconnecter avec succès","","2026-03-12","passed","2026-03-12","","","",""
"","161466","La page de présentation du Plan Bitcoin Famille est accessible et affiche les informations clés","","2026-03-12","passed","2026-03-12","","","",""
"","151781","Le formulaire de création de DCA affiche les messages d'erreur appropriés en cas de données invalides","","2026-03-12","passed","2026-03-12","","","",""
"","220722","Un utilisateur peut ajouter une adresse de retrait BTC avec succès","","2026-03-12","broken","2026-03-12","","","",""
"","272592","L'onglet Ordres affiche les ordres avec les informations attendues","","2026-03-12","passed","2026-03-12","","","",""
"","168850","Un utilisateur peut effectuer un transfert interne entre ses comptes deposit->trading avec succès","","2026-03-12","broken","2026-03-12","","","",""
"","155101","Un utilisateur ne peut pas désactiver l'authentification à deux facteurs avec un code incorrect","","2026-03-12","passed","2026-03-12","","","",""
"","101938","Un utilisateur peut se connecter avec des identifiants valides et sans 2FA","","2026-03-12","passed","2026-03-12","","","",""
"","173391","Un utilisateur peut naviguer vers les principales sections du site via le menu utilisateur","","2026-03-12","passed","2026-03-12","","","",""
"","256246","Un utilisateur peut déposer des euros sur son compte via Open Banking avec succès","","2026-03-12","broken","2026-03-12","","","",""
