"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","🔄 Transferts","0","Dépôts","1","0","","0"
"0","📈 Investissement","0","DCA (Achats récurrents)","2","0","","0"
"2","💹 Trading","0","Échange de cryptomonnaies","0","0","","0"
"1","🔐 Authentification","0","Authentification à deux facteurs","3","0","","0"
"0","🔐 Authentification","0","Déconnexion","1","0","","0"
"0","📜 Historique","0","Historique des transactions","3","0","","0"
"0","🧭 Navigation","0","Navigation vers achat de cryptomonnaies","3","0","","0"
"0","🧭 Navigation","0","Navigation in-app","2","0","","0"
"0","💹 Trading","0","Mode Expert","2","0","","0"
"1","🚀 Onboarding","0","Flows complets d'onboarding","1","0","","0"
"0","💹 Trading","0","Vente de cryptomonnaies","1","0","","0"
"1","🔎 Support client","0","Tickets de support","0","0","","0"
"1","📜 Historique","0","Export des transactions","0","0","","0"
"1","💹 Trading","0","Achat de cryptomonnaies","3","0","","0"
"1","💶 Portefeuille","0","Adresses de retrait de cryptomonnaies","0","0","","0"
"0","🔐 Authentification","0","Biométrie","1","0","","0"
"0","📈 Investissement","0","Plan Bitcoin Famille","1","0","","0"
"0","🔐 Authentification","0","Connexion","1","0","","0"
"1","🔄 Transferts","0","Transferts internes","0","0","","0"
