"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","📜 Historique","0","Historique des transactions","3","0","","0"
"0","💹 Trading","0","Mode Expert","4","0","","0"
"0","🔐 Authentification","0","Authentification à deux facteurs","4","0","","0"
"1","🚀 Onboarding","0","Flows complets d'onboarding","1","0","","0"
"1","💹 Trading","0","Achat de cryptomonnaies","4","0","","0"
"4","💹 Trading","0","Échange de cryptomonnaies","0","0","","0"
"2","🧭 Navigation","0","Navigation in-app","0","0","","0"
"0","📈 Investissement","0","DCA (Achats récurrents)","2","0","","0"
"1","🔄 Transferts","0","Dépôts","1","0","","0"
"2","🔄 Transferts","0","Transferts internes","0","0","","0"
"1","💹 Trading","0","Vente de cryptomonnaies","2","0","","0"
"0","🧭 Navigation","0","Navigation vers achat de cryptomonnaies","3","0","","0"
"1","💶 Portefeuille","0","Adresses de retrait de cryptomonnaies","0","0","","0"
"1","🔄 Transferts","0","Envoi par email","0","0","","0"
"1","📜 Historique","0","Export des transactions","0","0","","0"
"1","🔎 Support client","0","Tickets de support","0","0","","0"
"0","🔐 Authentification","0","Connexion","3","0","","0"
"0","📈 Investissement","0","Plan Bitcoin Famille","1","0","","0"
"0","🔄 Transferts","0","Retraits","1","0","","0"
