"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","129222","L'onglet Ordres affiche les ordres avec les informations attendues","","2026-03-12","passed","2026-03-12","","","",""
"","204874","Un utilisateur peut acheter du BTC en ordre limite avec succès","","2026-03-12","passed","2026-03-12","","","",""
"","196471","Un utilisateur ne peut pas désactiver l'authentification à deux facteurs avec un code incorrect","","2026-03-12","passed","2026-03-12","","","",""
"","231569","Un Utilisateur B2B peut compléter le flow d'onboarding avec succès","","2026-03-12","passed","2026-03-12","","","",""
"","172563","Un utilisateur peut acheter du BTC via une nouvelle carte de paiement avec succès @demo","","2026-03-12","passed","2026-03-12","","","",""
"","170092","Un utilisateur peut échanger du BTC contre de l'ETH avec succès","","2026-03-12","broken","2026-03-12","","","",""
"","171609","Un Utilisateur B2C peut compléter le flow d'onboarding avec succès","","2026-03-12","broken","2026-03-12","","","",""
"","144614","L'onglet Retraits affiche les retraits avec les informations attendues","","2026-03-12","passed","2026-03-12","","","",""
"","163990","Un utilisateur peut naviguer vers les principales sections du site via le menu utilisateur","","2026-03-12","broken","2026-03-12","","","",""
"","155546","Le formulaire de création de DCA affiche les messages d'erreur appropriés en cas de données invalides","","2026-03-12","passed","2026-03-12","","","",""
"","141625","Un utilisateur peut déposer des cryptomonnaies sur son compte avec succès","","2026-03-12","passed","2026-03-12","","","",""
"","174015","Un utilisateur peut échanger de l'ETH contre de l'USDC avec succès","","2026-03-12","broken","2026-03-12","","","",""
"","312943","Un utilisateur peut échanger du BTC contre de l'USDC avec succès","","2026-03-12","broken","2026-03-12","","","",""
"","166910","Un utilisateur peut échanger de l'ETH contre du BTC avec succès","","2026-03-12","broken","2026-03-12","","","",""
"","216879","Un utilisateur peut vendre du BTC au marché avec succès","","2026-03-12","passed","2026-03-12","","","",""
"","323657","Un utilisateur peut activer et désactiver l'authentification à deux facteurs avec succès","","2026-03-12","passed","2026-03-12","","","",""
"","180290","Un utilisateur peut effectuer un transfert interne entre ses comptes trading->deposit avec succès","","2026-03-12","broken","2026-03-12","","","",""
"","161044","Un utilisateur peut vendre du BTC avec succès","","2026-03-12","passed","2026-03-12","","","",""
"","208129","Un utilisateur peut vendre du BTC en ordre limite avec succès","","2026-03-12","passed","2026-03-12","","","",""
"","158718","Un utilisateur peut naviguer du dashboard vers l'achat d'ETH via la fiche crypto","","2026-03-12","passed","2026-03-12","","","",""
"","150975","Un utilisateur peut ajouter une adresse de retrait BTC avec succès","","2026-03-12","broken","2026-03-12","","","",""
"","168957","Un utilisateur peut vendre de l'ETH avec succès","","2026-03-12","passed","2026-03-12","","","",""
"","211872","Un utilisateur peut acheter du BTC au marché avec succès","","2026-03-12","passed","2026-03-12","","","",""
"","156183","Un utilisateur peut effectuer un transfert interne entre ses comptes deposit->trading avec succès","","2026-03-12","broken","2026-03-12","","","",""
"","273368","Un utilisateur peut déposer des euros sur son compte via Open Banking avec succès","","2026-03-12","broken","2026-03-12","","","",""
"","166949","Un utilisateur peut envoyer des cryptomonnaies à un destinataire via son adresse email avec succès","","2026-03-12","broken","2026-03-12","","","",""
"","156827","Un utilisateur peut naviguer du dashboard vers l'achat d'USDC via la fiche crypto","","2026-03-12","passed","2026-03-12","","","",""
"","158170","Un utilisateur peut générer un nouvel export de transactions","","2026-03-12","broken","2026-03-12","","","",""
"","219464","Un utilisateur avec l'authentification à deux facteurs activée ne peut pas se connecter avec un code 2FA incorrect","","2026-03-12","passed","2026-03-12","","","",""
"","163741","L'historique des transactions affiche un état vide approprié lorsqu'il n'y a pas de transactions","","2026-03-12","passed","2026-03-12","","","",""
"","221459","Un utilisateur peut créer un ticket de support, ajouter un commentaire, puis fermer le ticket","","2026-03-12","broken","2026-03-12","","","",""
"","130838","Un utilisateur non approuvé est redirigé vers la page d'onboarding incomplète après connexion","","2026-03-12","passed","2026-03-12","","","",""
"","85247","Un utilisateur ne peut pas se connecter avec un mot de passe incorrect","","2026-03-12","passed","2026-03-12","","","",""
"","158343","@demo Un utilisateur peut acheter de l'USDC via le compte de trading avec succès","","2026-03-12","passed","2026-03-12","","","",""
"","179056","Un utilisateur ne peut pas activer l'authentification à deux facteurs avec un code incorrect","","2026-03-12","passed","2026-03-12","","","",""
"","148268","@demo Un utilisateur peut acheter du BTC via le compte de trading avec succès","","2026-03-12","passed","2026-03-12","","","",""
"","164996","La page de présentation du Plan Bitcoin Famille est accessible et affiche les informations clés","","2026-03-12","passed","2026-03-12","","","",""
"","144949","Un utilisateur peut naviguer du dashboard vers l'achat de BTC via la fiche crypto","","2026-03-12","passed","2026-03-12","","","",""
"","167851","Un utilisateur peut vendre de l'USDC avec succès","","2026-03-12","broken","2026-03-12","","","",""
"","163216","@demo Un utilisateur peut acheter de l'ETH via le compte de trading avec succès","","2026-03-12","passed","2026-03-12","","","",""
"","230039","@sanity @demo Un utilisateur peut naviguer vers les principales sections du site via la navigation mobile","","2026-03-12","broken","2026-03-12","","","",""
"","226127","Un utilisateur peut acheter de l'ETH via une nouvelle carte de paiement avec succès","","2026-03-12","broken","2026-03-12","","","",""
"","153766","Un utilisateur peut retirer des cryptomonnaies de son compte avec succès","","2026-03-12","passed","2026-03-12","","","",""
"","307367","Un utilisateur peut créer, éditer, mettre en pause, reprendre et stopper un DCA","","2026-03-12","passed","2026-03-12","","","",""
"","95153","Le formulaire de connexion affiche les messages d'erreur appropriés en cas de données invalides","","2026-03-12","passed","2026-03-12","","","",""
