"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","190201","Un utilisateur peut changer son mot de passe avec succès","local_desktop_nonReg","2026-03-13","passed","2026-03-13","","account/change-password/nominal.spec.ts","",""
"","29467","Un utilisateur peut envoyer des euros à un destinataire via son adresse email avec succès","local_desktop_nonReg","2026-03-13","passed","2026-03-13","","transfers/send-by-email/eur.spec.ts","",""
"","43160","Un utilisateur peut acheter du BTC via une nouvelle carte de paiement avec succès","local_desktop_nonReg","2026-03-13","passed","2026-03-13","","trading/buy-cryptos/buy-btc-payment-card.spec.ts","",""
"","28449","Un utilisateur est redirigé vers le dépôt EUR après connexion via /deposit/EUR","local_desktop_nonReg","2026-03-13","passed","2026-03-13","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","63075","Un utilisateur peut vendre du BTC en ordre limite avec succès","local_desktop_nonReg","2026-03-13","failed","2026-03-13","","trading/expert-mode/sell-btc-limit.spec.ts","",""
"","123097","Un utilisateur ne peut pas se connecter avec un mot de passe incorrect","local_desktop_nonReg","2026-03-13","passed","2026-03-13","","authentication/sign-in/wrong-password.spec.ts","",""
"","22997","Le formulaire de réinitialisation du mot de passe affiche un message de succès même si l'email n'est pas enregistré (obfuscation)","local_desktop_nonReg","2026-03-13","passed","2026-03-13","","authentication/reset-password/unregistered.spec.ts","",""
"","46635","Un utilisateur peut créer, éditer, mettre en pause, reprendre et stopper un DCA","local_desktop_nonReg","2026-03-13","failed","2026-03-13","","investment/dca/lifecycle.spec.ts","",""
"","24888","Un utilisateur est redirigé vers le dashboard après connexion via /dashboard","local_desktop_nonReg","2026-03-13","passed","2026-03-13","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","22918","Un utilisateur peut se connecter avec des identifiants valides et sans 2FA","local_desktop_nonReg","2026-03-13","passed","2026-03-13","","authentication/sign-in/nominal.spec.ts","",""
"","85844","Un utilisateur peut naviguer vers les principales sections du site via la barre de navigation","local_desktop_nonReg","2026-03-13","failed","2026-03-13","","navigation/in-app/web-navbar.spec.ts","",""
"","105262","Un utilisateur ne peut pas activer l'authentification à deux facteurs avec un code incorrect","local_desktop_nonReg","2026-03-13","passed","2026-03-13","","authentication/two-factor/bad-code-activation.spec.ts","",""
"","49215","Un utilisateur peut naviguer vers les principales sections du site via le menu utilisateur","local_desktop_nonReg","2026-03-13","passed","2026-03-13","","navigation/in-app/user-menu.spec.ts","",""
"","27140","Un utilisateur peut naviguer du dashboard vers la vente d'USDC via la fiche crypto","local_desktop_nonReg","2026-03-13","passed","2026-03-13","","navigation/to-sell/dashboard-to-usdc-sell.spec.ts","",""
"","53944","Un utilisateur peut vendre du BTC au marché avec succès","local_desktop_nonReg","2026-03-13","failed","2026-03-13","","trading/expert-mode/sell-btc-market.spec.ts","",""
"","35165","Un utilisateur peut retirer des euros de son compte avec succès","local_desktop_nonReg","2026-03-13","failed","2026-03-13","","transfers/withdraw/eur-withdraw.spec.ts","",""
"","894461","Un utilisateur ne peut pas désactiver l'authentification à deux facteurs avec un code incorrect","local_desktop_nonReg","2026-03-13","passed","2026-03-13","","authentication/two-factor/bad-code-deactivate.spec.ts","",""
"","52110","Un utilisateur sans paramètre redirect est redirigé vers le dashboard par défaut après connexion","local_desktop_nonReg","2026-03-13","passed","2026-03-13","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","84931","Un utilisateur peut annuler un ordre actif BTC avec succès","local_desktop_nonReg","2026-03-13","failed","2026-03-13","","trading/expert-mode/cancel-active-order.spec.ts","",""
"","33536","Un utilisateur peut supprimer un bouton marchand avec succès","local_desktop_nonReg","2026-03-13","passed","2026-03-13","","connections/merchant-buttons/delete.spec.ts","",""
"","19280","La page de choix du type de compte respecte les règles d'accessibilité (axe-core)","local_desktop_nonReg","2026-03-13","passed","2026-03-13","","onboarding/accessibility.spec.ts","",""
"","30150","Un utilisateur peut naviguer du dashboard vers l'achat d'USDC via la fiche crypto","local_desktop_nonReg","2026-03-13","failed","2026-03-13","","navigation/to-buy/dashboard-to-usdc-buy.spec.ts","",""
