"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","116989","Un utilisateur est vérouillé après plusieurs tentatives de connexion infructueuses","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","authentication/locked-account/nominal.spec.ts","",""
"","75710","Un utilisateur peut effectuer un transfert interne entre ses comptes deposit->trading avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","transfers/internal/deposit-to-trading.spec.ts","",""
"","27945","Un utilisateur peut naviguer du dashboard vers l'achat de BTC via la fiche crypto","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","navigation/to-buy/dashboard-to-btc-buy.spec.ts","",""
"","51401","Un utilisateur peut réactiver sa session après une expiration temporaire sans être redirigé vers la page de connexion","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","authentication/session/session-timeout-reactivate.spec.ts","",""
"","30057","Un utilisateur peut se connecter avec des identifiants valides et sans 2FA","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","authentication/sign-in/nominal.spec.ts","",""
"","137769","Un utilisateur peut vendre de l'ETH avec succès","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","trading/sell-cryptos/sell-eth.spec.ts","",""
"","76322","Un utilisateur peut changer son mot de passe avec succès","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","account/change-password/nominal.spec.ts","",""
"","20616","Un utilisateur ne peut pas se connecter avec un email non enregistré","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","authentication/sign-in/unregistered.spec.ts","",""
"","42624","Un Utilisateur B2C peut compléter le flow d'onboarding avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","onboarding/complete-flows/b2c.spec.ts","",""
"","71682","Un utilisateur peut effectuer un transfert interne entre ses comptes trading->deposit avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","transfers/internal/trading-to-deposit.spec.ts","",""
"","129400","Un utilisateur est automatiquement déconnecté après l'expiration de sa session","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","authentication/session/session-timeout-logout.spec.ts","",""
"","69533","Un utilisateur peut échanger du BTC contre de l'ETH avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","trading/swap-cryptos/swap-btc-to-eth.spec.ts","",""
"","133985","Le formulaire de réinitialisation du mot de passe affiche les messages d'erreur appropriés en cas de données invalides","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","authentication/reset-password/form-validations.spec.ts","",""
"","78086","Un utilisateur peut vendre du BTC au marché avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","trading/expert-mode/sell-btc-market.spec.ts","",""
"","69356","Le composant de swap (achat/vente/conversion) affiche les valeurs de prévisualisation correctes avant la confirmation","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","trading/swap-overlay/preview-values.spec.ts","",""
"","112825","Un utilisateur peut retirer des cryptomonnaies de son compte avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","transfers/withdraw/btc-withdraw.spec.ts","",""
"","169337","Un utilisateur non approuvé ne peut pas initier un retrait et voit un message d'erreur approprié","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","transfers/withdraw/not-approved.spec.ts","",""
"","64428","Le mode expert respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","accessibility.spec.ts","",""
"","103636","Un utilisateur ne peut pas changer son mot de passe avec un mot de passe actuel incorrect","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","account/change-password/bad-current-password.spec.ts","",""
"","579","Un utilisateur peut naviguer vers les principales sections du site via la barre de navigation","local_responsive_nonReg","2026-03-13","skipped","2026-03-13","","navigation/in-app/web-navbar.spec.ts","",""
"","34915","Un utilisateur peut acheter de l'ETH via une nouvelle carte de paiement avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","trading/buy-cryptos/buy-eth-payment-card.spec.ts","",""
"","70038","Un utilisateur peut envoyer des euros à un destinataire via son adresse email avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","transfers/send-by-email/eur.spec.ts","",""
"","87280","Un utilisateur peut retirer des euros de son compte avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","transfers/withdraw/eur-withdraw.spec.ts","",""
"","115858","Un utilisateur peut échanger du BTC contre de l'USDC avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","trading/swap-cryptos/swap-btc-to-usdc.spec.ts","",""
"","43289","Un utilisateur peut naviguer vers les principales sections du site via le menu responsive","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","navigation/in-app/responsive-menu.spec.ts","",""
"","32669","Un utilisateur peut acheter de l'USDC via le compte de trading avec succès","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","trading/buy-cryptos/buy-usdc-trading-account.spec.ts","",""
"","69178","Un utilisateur peut vendre du BTC en ordre limite avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","trading/expert-mode/sell-btc-limit.spec.ts","",""
"","19003","La page de connexion respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","authentication/sign-in-ally/axe-scan.spec.ts","",""
"","19942","La page de choix du type de compte respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","onboarding/accessibility.spec.ts","",""
"","132456","Un utilisateur peut réinitialiser son mot de passe avec succès via le lien envoyé par email","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","authentication/reset-password/nominal.spec.ts","",""
"","41198","Un utilisateur voit un message d'erreur lorsque le paiement par carte échoue","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","trading/buy-cryptos/payment-failure.spec.ts","",""
"","31987","Un utilisateur non authentifié peut accéder aux routes publiques sans être redirigé vers la page de connexion","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","authentication/public-routes/unauthenticated-access.spec.ts","",""
"","217340","Un utilisateur peut ajouter un compte bancaire avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","wallet/bank-accounts/add-bank-account.spec.ts","",""
"","43004","Un utilisateur peut échanger de l'ETH contre de l'USDC avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","trading/swap-cryptos/swap-eth-to-usdc.spec.ts","",""
"","29690","Un utilisateur peut naviguer du dashboard vers l'achat d'ETH via la fiche crypto","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","navigation/to-buy/dashboard-to-eth-buy.spec.ts","",""
"","22415","Le formulaire de connexion affiche les messages d'erreur appropriés en cas de données invalides","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","authentication/sign-in/form-validations.spec.ts","",""
"","73880","Un utilisateur peut envoyer des cryptomonnaies à un destinataire via son adresse email avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","transfers/send-by-email/crypto.spec.ts","",""
"","69779","Un utilisateur peut créer un ticket de support, ajouter un commentaire, puis fermer le ticket","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","support/support-tickets.spec.ts","",""
"","68160","Un utilisateur peut échanger de l'USDC contre de l'ETH avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","trading/swap-cryptos/swap-usdc-to-eth.spec.ts","",""
"","62598","Un utilisateur peut acheter du BTC en ordre limite avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","trading/expert-mode/buy-btc-limit.spec.ts","",""
"","43885","Un utilisateur est redirigé vers le wallet après connexion via /wallet","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","62499","Un utilisateur peut acheter du BTC au marché avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","trading/expert-mode/buy-btc-market.spec.ts","",""
"","58384","Un utilisateur ne peut pas initier un retrait de cryptomonnaies s'il n'a pas d'adresse de retrait enregistrée","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","transfers/deposit/crypto-without-address.spec.ts","",""
"","27968","La page d'inscription B2C (email) respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","onboarding/accessibility.spec.ts","",""
"","68602","Un utilisateur peut déposer des cryptomonnaies sur son compte avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","transfers/deposit/crypto-display.spec.ts","",""
"","16394","Un utilisateur peut naviguer et soumettre le formulaire de connexion au clavier","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","authentication/sign-in-ally/keyboard-navigation.spec.ts","",""
"","64824","Un utilisateur peut annuler un ordre actif BTC avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","trading/expert-mode/cancel-active-order.spec.ts","",""
"","28852","Un utilisateur peut acheter du BTC via le compte de trading avec succès","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","trading/buy-cryptos/buy-btc-trading-account.spec.ts","",""
