"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","🧑‍🦲 Accessibilité","0","Intégration d'axe-core dans les tests","4","0","","0"
"0","🔐 Authentification","2","Connexion","3","0","","0"
"0","🔗 Connexions tierces","3","Tokens API","1","0","","0"
"0","🔐 Authentification","2","Réinitialisation du mot de passe","1","0","","0"
"0","📈 Investissement","3","Plan Bitcoin Famille","0","0","","0"
"0","🔐 Authentification","1","Déconnexion","0","0","","0"
"0","🔐 Authentification","5","Redirections après connexion","0","0","","0"
"0","🔐 Authentification","3","Gestion de session et expiration","0","0","","0"
"0","🧭 Navigation","0","Navigation vers dépôt de cryptomonnaies","1","0","","0"
"0","📜 Historique","1","Export des transactions","0","0","","0"
"0","🔗 Connexions tierces","4","Boutons marchands","0","0","","0"
"0","🍪 Cookies","0","Widget de gestion des cookies Axeptio","3","0","","0"
"0","🔐 Authentification","1","Authentification à deux facteurs","3","0","","0"
"0","📜 Historique","2","Historique des transactions","0","0","","0"
"0","🔐 Authentification","0","Routes publiques","1","0","","0"
"0","🧭 Navigation","0","Navigation in-app","1","0","","0"
"0","🔐 Authentification","0","Routes protégées","1","0","","0"
"0","🔐 Authentification","1","Vérouillage de compte","0","0","","0"
"0","🔐 Authentification","0","Accessibilité de la page de connexion","3","0","","0"
"0","🧑‍💻 Gestion du compte","3","Changement de mot de passe","0","0","","0"
"0","📈 Investissement","1","DCA (Achats récurrents)","0","0","Un utilisateur peut créer, éditer, mettre en pause, reprendre et stopper un DCA","0"
