"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","110174","La page d'achat/vente respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","accessibility.spec.ts","",""
"","64817","Un utilisateur ne peut pas se connecter avec un email non enregistré","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","authentication/sign-in/unregistered.spec.ts","",""
"","163125","Le mode expert respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","accessibility.spec.ts","",""
"","55481","Le formulaire de création de token API affiche les messages d'erreur appropriés en cas de données invalides","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","connections/api-tokens/create-form-validations.spec.ts","",""
"","80573","Le formulaire de connexion affiche les messages d'erreur appropriés en cas de données invalides","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","authentication/sign-in/form-validations.spec.ts","",""
"","50850","Le formulaire de réinitialisation du mot de passe affiche les messages d'erreur appropriés en cas de données invalides","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","authentication/reset-password/form-validations.spec.ts","",""
"","119701","La page de présentation du Plan Bitcoin Famille est accessible et affiche les informations clés","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","investment/family-plan/presentation-user.spec.ts","",""
"","135190","Un utilisateur peut se déconnecter avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","authentication/sign-out/nominal.spec.ts","",""
"","87662","Un utilisateur est redirigé vers le wallet après connexion via /wallet","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","148202","Un utilisateur est redirigé vers le dashboard après connexion via /dashboard","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","50516","Un utilisateur peut réactiver sa session après une expiration temporaire sans être redirigé vers la page de connexion","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","authentication/session/session-timeout-reactivate.spec.ts","",""
"","51233","Un utilisateur peut naviguer du dashboard vers le dépôt de BTC via la fiche crypto","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","navigation/in-app/dashboard-market-list.spec.ts","",""
"","72069","Un utilisateur peut générer un nouvel export de transactions","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","history/exports/create-nominal.spec.ts","",""
"","73243","Un utilisateur peut prévisualiser un bouton marchand une fois créé","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","connections/merchant-buttons/preview.spec.ts","",""
"","34028","Un utilisateur peut accepter tous les cookies et la modale se ferme","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","cookies/axeptio/accept-all.spec.ts","",""
"","218147","Un utilisateur peut activer et désactiver l'authentification à deux facteurs avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","authentication/two-factor/back-and-forth.spec.ts","",""
"","67225","L'onglet Ordres affiche les ordres avec les informations attendues","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","history/transactions-history/orders-tab.spec.ts","",""
"","62322","Un utilisateur peut supprimer un token API avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","connections/api-tokens/delete-nominal.spec.ts","",""
"","179215","Un utilisateur non approuvé ne peut pas créer de plan famille et voit un message d'erreur approprié","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","investment/family-plan/not-approved.spec.ts","",""
"","267233","Un utilisateur ne peut pas se connecter avec un mot de passe incorrect","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","authentication/sign-in/wrong-password.spec.ts","",""
"","85193","Un utilisateur non authentifié peut accéder aux routes publiques sans être redirigé vers la page de connexion","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","authentication/public-routes/unauthenticated-access.spec.ts","",""
"","50449","L'onglet Retraits affiche les retraits avec les informations attendues","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","history/transactions-history/withdrawals-tab.spec.ts","",""
"","62141","Un utilisateur peut naviguer vers l'achat de cryptomonnaies via le bouton d'achat rapide du dashboard","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","navigation/in-app/dashboard-quick-actions.spec.ts","",""
"","91343","Un utilisateur ne peut pas désactiver l'authentification à deux facteurs avec un code incorrect","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","authentication/two-factor/bad-code-deactivate.spec.ts","",""
"","105754","Un utilisateur est redirigé vers le dépôt EUR après connexion via /deposit/EUR","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","27199","Le formulaire de réinitialisation du mot de passe affiche un message de succès même si l'email n'est pas enregistré (obfuscation)","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","authentication/reset-password/unregistered.spec.ts","",""
"","24751","Un utilisateur peut refuser les cookies et la modale se ferme","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","cookies/axeptio/refuse-all.spec.ts","",""
"","427459","Un utilisateur non authentifié est redirigé vers la page de connexion lorsqu'il tente d'accéder aux routes protégées","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","authentication/protected-routes/unauthenticated-access.spec.ts","",""
"","96867","Un utilisateur ne peut pas créer un token API avec un mot de passe incorrect","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","connections/api-tokens/create-bad-password.spec.ts","",""
"","302539","Un utilisateur est vérouillé après plusieurs tentatives de connexion infructueuses","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","authentication/locked-account/nominal.spec.ts","",""
"","62725","Un utilisateur peut créer un token API avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","connections/api-tokens/create-nominal.spec.ts","",""
"","158156","Un utilisateur sans paramètre redirect est redirigé vers le dashboard par défaut après connexion","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","92638","La déconnexion dans un onglet invalide la session dans un autre onglet","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","authentication/session/multi-sessions-invalidate.spec.ts","",""
"","202006","La page de présentation du Plan Bitcoin Famille est accessible et affiche les informations clés à un utilisateur non connecté","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","investment/family-plan/presentation-guest.spec.ts","",""
"","52584","Le dashboard respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","accessibility.spec.ts","",""
"","90908","Un utilisateur peut se connecter avec des identifiants valides et sans 2FA","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","authentication/sign-in/nominal.spec.ts","",""
