"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","205382","Un utilisateur ne peut pas changer son mot de passe avec un mot de passe actuel incorrect","","2026-03-13","passed","2026-03-13","","","",""
"","2","Un utilisateur ne peut pas se connecter avec une authentification biométrique incorrecte","","2026-03-13","skipped","2026-03-13","","","",""
"","214013","Un utilisateur peut vendre du BTC en ordre limite avec succès","","2026-03-13","passed","2026-03-13","","","",""
"","151921","Un utilisateur ne peut pas se connecter avec un code PIN incorrect","","2026-03-13","broken","2026-03-13","","","",""
"","278692","Un utilisateur peut acheter de l'ETH via une nouvelle carte de paiement avec succès","","2026-03-13","broken","2026-03-13","","","",""
"","159268","Un utilisateur peut effectuer un transfert interne entre ses comptes trading->deposit avec succès","","2026-03-13","broken","2026-03-13","","","",""
"","143376","@demo Un utilisateur peut acheter du BTC via le compte de trading avec succès","","2026-03-13","passed","2026-03-13","","","",""
"","164274","Un utilisateur peut envoyer des cryptomonnaies à un destinataire via son adresse email avec succès","","2026-03-13","broken","2026-03-13","","","",""
"","260412","Un utilisateur peut déposer des euros sur son compte via Open Banking avec succès","","2026-03-13","broken","2026-03-13","","","",""
"","178490","Un utilisateur peut vendre de l'USDC avec succès","","2026-03-13","broken","2026-03-13","","","",""
"","183315","Un utilisateur peut acheter du BTC via une nouvelle carte de paiement avec succès @demo","","2026-03-13","passed","2026-03-13","","","",""
"","148877","Un utilisateur peut acheter du BTC au marché avec succès","","2026-03-13","passed","2026-03-13","","","",""
"","224202","Un utilisateur peut créer un ticket de support, ajouter un commentaire, puis fermer le ticket","","2026-03-13","broken","2026-03-13","","","",""
"","86217","Le formulaire de connexion affiche les messages d'erreur appropriés en cas de données invalides","","2026-03-13","passed","2026-03-13","","","",""
"","214798","Un utilisateur avec l'authentification à deux facteurs activée ne peut pas se connecter avec un code 2FA incorrect","","2026-03-13","passed","2026-03-13","","","",""
"","151523","Un utilisateur peut générer un nouvel export de transactions","","2026-03-13","broken","2026-03-13","","","",""
"","165886","@demo Un utilisateur peut acheter de l'USDC via le compte de trading avec succès","","2026-03-13","passed","2026-03-13","","","",""
"","156783","L'onglet Retraits affiche les retraits avec les informations attendues","","2026-03-13","passed","2026-03-13","","","",""
"","159226","Un utilisateur peut ajouter une adresse de retrait BTC avec succès","","2026-03-13","broken","2026-03-13","","","",""
"","117038","Un utilisateur non approuvé est redirigé vers la page d'onboarding incomplète après connexion","","2026-03-13","passed","2026-03-13","","","",""
"","239555","Un utilisateur peut vendre du BTC au marché avec succès","","2026-03-13","passed","2026-03-13","","","",""
"","184487","Configuration Pin Code et Empreinte Digitale dans les parametres Android","","2026-03-13","passed","2026-03-13","","","",""
"","94136","Un utilisateur peut réinitialiser son mot de passe avec succès via le lien envoyé par email","","2026-03-13","broken","2026-03-13","","","",""
"","183197","Un utilisateur peut retirer des cryptomonnaies de son compte avec succès","","2026-03-13","passed","2026-03-13","","","",""
