"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","🧑‍🦲 Accessibilité","0","Intégration d'axe-core dans les tests","4","0","","0"
"0","🧭 Navigation","0","Navigation vers achat de cryptomonnaies","6","0","","0"
"0","🔐 Authentification","0","Connexion","5","0","","0"
"0","🔐 Authentification","2","Réinitialisation du mot de passe","1","0","","0"
"0","🚀 Onboarding","2","Flows complets d'onboarding","0","0","","0"
"0","🧑‍💻 Gestion du compte","0","Changement de mot de passe","3","0","","0"
"0","🔐 Authentification","3","Gestion de session et expiration","0","0","","0"
"0","💹 Trading","2","Achat de cryptomonnaies","6","0","","0"
"0","💹 Trading","4","Mode Expert","0","0","","0"
"0","🚀 Onboarding","0","Accessibilité des pages d'onboarding","3","0","","0"
"0","🔐 Authentification","0","Accessibilité de la page de connexion","3","0","","0"
"0","🧭 Navigation","2","Navigation in-app","0","1","","0"
"0","🔐 Authentification","0","Routes publiques","1","0","","0"
"0","🔐 Authentification","0","Routes protégées","1","0","","0"
"0","🔐 Authentification","0","Redirections après connexion","3","0","","0"
"0","🔐 Authentification","0","Vérouillage de compte","1","0","","0"
"0","🔎 Support client","0","Tickets de support","1","0","","0"
