"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55705","Le dashboard respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","accessibility.spec.ts","",""
"","28834","Un utilisateur peut naviguer du dashboard vers l'achat de BTC via la fiche crypto","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","navigation/to-buy/dashboard-to-btc-buy.spec.ts","",""
"","21350","Le formulaire de connexion affiche les messages d'erreur appropriés en cas de données invalides","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","authentication/sign-in/form-validations.spec.ts","",""
"","47960","Un utilisateur peut réinitialiser son mot de passe avec succès via le lien envoyé par email","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","authentication/reset-password/nominal.spec.ts","",""
"","42735","Un Utilisateur B2C peut compléter le flow d'onboarding avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","onboarding/complete-flows/b2c.spec.ts","",""
"","24470","Un utilisateur ne peut pas se connecter avec un email non enregistré","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","authentication/sign-in/unregistered.spec.ts","",""
"","154342","Un utilisateur peut changer son mot de passe avec succès","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","account/change-password/nominal.spec.ts","",""
"","45888","Un utilisateur est automatiquement déconnecté après l'expiration de sa session","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","authentication/session/session-timeout-logout.spec.ts","",""
"","34138","Un utilisateur peut acheter de l'ETH via une nouvelle carte de paiement avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","trading/buy-cryptos/buy-eth-payment-card.spec.ts","",""
"","31298","Un utilisateur peut acheter de l'ETH via le compte de trading avec succès","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","trading/buy-cryptos/buy-eth-trading-account.spec.ts","",""
"","73454","Un utilisateur peut acheter du BTC en ordre limite avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","trading/expert-mode/buy-btc-limit.spec.ts","",""
"","133132","Le formulaire de réinitialisation du mot de passe affiche les messages d'erreur appropriés en cas de données invalides","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","authentication/reset-password/form-validations.spec.ts","",""
"","18959","La page de choix du type de compte respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","onboarding/accessibility.spec.ts","",""
"","22976","La page de connexion avec des erreurs de formulaire respecte les règles d'accessibilité","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","authentication/sign-in-ally/axe-scan-errors.spec.ts","",""
"","44357","Un utilisateur peut naviguer vers les principales sections du site via le menu utilisateur","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","navigation/in-app/user-menu.spec.ts","",""
"","30509","Un utilisateur non authentifié peut accéder aux routes publiques sans être redirigé vers la page de connexion","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","authentication/public-routes/unauthenticated-access.spec.ts","",""
"","27299","La page d'inscription B2C (email) respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","onboarding/accessibility.spec.ts","",""
"","55634","Le portefeuille respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","accessibility.spec.ts","",""
"","161689","Un utilisateur non authentifié est redirigé vers la page de connexion lorsqu'il tente d'accéder aux routes protégées","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","authentication/protected-routes/unauthenticated-access.spec.ts","",""
"","28615","Un utilisateur peut naviguer du dashboard vers l'achat d'ETH via la fiche crypto","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","navigation/to-buy/dashboard-to-eth-buy.spec.ts","",""
"","40473","Un utilisateur voit un message d'erreur lorsque le paiement par carte échoue","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","trading/buy-cryptos/payment-failure.spec.ts","",""
"","49058","Un utilisateur peut réactiver sa session après une expiration temporaire sans être redirigé vers la page de connexion","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","authentication/session/session-timeout-reactivate.spec.ts","",""
"","600","Un utilisateur peut naviguer vers les principales sections du site via la barre de navigation","local_responsive_nonReg","2026-03-13","skipped","2026-03-13","","navigation/in-app/web-navbar.spec.ts","",""
"","43222","Un Utilisateur B2B peut compléter le flow d'onboarding avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","onboarding/complete-flows/b2b.spec.ts","",""
"","63761","La déconnexion dans un onglet invalide la session dans un autre onglet","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","authentication/session/multi-sessions-invalidate.spec.ts","",""
"","27876","La page d'inscription B2B (entreprise) respecte les règles d'accessibilité (axe-core)","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","onboarding/accessibility.spec.ts","",""
"","66039","Un utilisateur peut acheter du BTC au marché avec succès","local_responsive_nonReg","2026-03-13","failed","2026-03-13","","trading/expert-mode/buy-btc-market.spec.ts","",""
"","27802","Un utilisateur peut naviguer du dashboard vers la vente d'USDC via la fiche crypto","local_responsive_nonReg","2026-03-13","passed","2026-03-13","","navigation/to-sell/dashboard-to-usdc-sell.spec.ts","",""
