"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","89213","Un utilisateur peut déposer des euros sur son compte via Open Banking avec succès","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","transfers/deposit/eur-open-banking.spec.ts","",""
"","47393","Le formulaire de création de token API affiche les messages d'erreur appropriés en cas de données invalides","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","connections/api-tokens/create-form-validations.spec.ts","",""
"","201823","Un utilisateur peut annuler un ordre actif BTC avec succès","local_desktop_nonReg","2026-03-25","failed","2026-03-25","","trading/expert-mode/cancel-active-order.spec.ts","",""
"","52369","Le formulaire de connexion affiche les messages d'erreur appropriés en cas de données invalides","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","authentication/sign-in/form-validations.spec.ts","",""
"","105466","Le formulaire de réinitialisation du mot de passe affiche un message de succès même si l'email n'est pas enregistré (obfuscation)","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","authentication/reset-password/unregistered.spec.ts","",""
"","21606","Un utilisateur peut vendre du BTC avec succès","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","trading/sell-cryptos/sell-btc.spec.ts","",""
"","18815","Un utilisateur peut naviguer du dashboard vers l'achat d'ETH via la fiche crypto","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","navigation/to-buy/dashboard-to-eth-buy.spec.ts","",""
"","29582","Un utilisateur peut générer un lien de parrainage et le partager","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","referral/program/referral-link.spec.ts","",""
"","42098","Un utilisateur peut acheter du BTC via une nouvelle carte de paiement avec succès","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","trading/buy-cryptos/buy-btc-payment-card.spec.ts","",""
"","58087","L'onglet Ordres affiche les ordres avec les informations attendues","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","history/transactions-history/orders-tab.spec.ts","",""
"","100329","La page d'achat/vente respecte les règles d'accessibilité (axe-core)","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","accessibility.spec.ts","",""
"","56508","Un utilisateur peut créer un token API avec succès","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","connections/api-tokens/create-nominal.spec.ts","",""
"","51467","Un utilisateur peut naviguer du dashboard vers le dépôt de BTC via la fiche crypto","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","navigation/in-app/dashboard-market-list.spec.ts","",""
"","55756","Le formulaire de modification de DCA affiche les messages d'erreur appropriés en cas de données invalides","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","investment/dca/edit-form-validations.spec.ts","",""
"","25096","Un utilisateur peut vendre de l'ETH avec succès","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","trading/sell-cryptos/sell-eth.spec.ts","",""
"","62812","Un utilisateur peut se déconnecter avec succès","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","authentication/sign-out/nominal.spec.ts","",""
"","40158","Un utilisateur est redirigé vers son profil après connexion via /profile/identity","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","26500","Un utilisateur peut acheter de l'ETH via une nouvelle carte de paiement avec succès","local_desktop_nonReg","2026-03-25","failed","2026-03-25","","trading/buy-cryptos/buy-eth-payment-card.spec.ts","",""
"","68010","La page de présentation du Plan Bitcoin Famille est accessible et affiche les informations clés","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","investment/family-plan/presentation-user.spec.ts","",""
"","52113","Un utilisateur est redirigé vers le wallet après connexion via /wallet","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","93344","Un utilisateur peut prévisualiser un bouton marchand une fois créé","local_desktop_nonReg","2026-03-25","failed","2026-03-25","","connections/merchant-buttons/preview.spec.ts","",""
"","27640","Un utilisateur peut échanger de l'USDC contre du BTC avec succès","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","trading/swap-cryptos/swap-usdc-to-btc.spec.ts","",""
"","261299","Un utilisateur peut acheter du BTC en ordre limite avec succès","local_desktop_nonReg","2026-03-25","failed","2026-03-25","","trading/expert-mode/buy-btc-limit.spec.ts","",""
"","38805","Un utilisateur peut effectuer un transfert interne entre ses comptes trading->deposit avec succès","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","transfers/internal/trading-to-deposit.spec.ts","",""
"","110005","Un utilisateur peut créer, éditer, mettre en pause, reprendre et stopper un DCA","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","investment/dca/lifecycle.spec.ts","",""
"","34220","Un utilisateur peut naviguer vers les principales sections du site via le menu utilisateur","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","navigation/in-app/user-menu.spec.ts","",""
"","21018","La page d'inscription B2B (entreprise) respecte les règles d'accessibilité (axe-core)","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","onboarding/accessibility.spec.ts","",""
"","34912","Un utilisateur peut échanger du BTC contre de l'USDC avec succès","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","trading/swap-cryptos/swap-btc-to-usdc.spec.ts","",""
"","51180","Un utilisateur peut accepter tous les cookies et la modale se ferme","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","cookies/axeptio/accept-all.spec.ts","",""
"","767","Un utilisateur peut naviguer vers les principales sections du site via le menu responsive","local_desktop_nonReg","2026-03-25","skipped","2026-03-25","","navigation/in-app/responsive-menu.spec.ts","",""
