"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","77121","Un utilisateur sans paramètre redirect est redirigé vers le dashboard par défaut après connexion","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","83723","Un utilisateur peut naviguer du dashboard vers l'achat d'USDC via la fiche crypto","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","navigation/to-buy/dashboard-to-usdc-buy.spec.ts","",""
"","196059","Un utilisateur peut activer et désactiver l'authentification à deux facteurs avec succès","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","authentication/two-factor/back-and-forth.spec.ts","",""
"","87144","Un utilisateur peut naviguer du wallet vers le retrait de BTC via la fiche crypto","local_desktop_nonReg","2026-03-25","failed","2026-03-25","","navigation/to-withdraw/wallet-to-btc-withdrawal.spec.ts","",""
"","75165","Un utilisateur peut déposer des euros sur son compte via Open Banking avec succès","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","transfers/deposit/eur-open-banking.spec.ts","",""
"","21368","Un utilisateur peut échanger de l'ETH contre du BTC avec succès","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","trading/swap-cryptos/swap-eth-to-btc.spec.ts","",""
"","73502","La modale de trading se ferme correctement lorsque l'utilisateur annule","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","trading/buy-cryptos/cancel-payment.spec.ts","",""
"","49001","La page de choix du type de compte respecte les règles d'accessibilité (axe-core)","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","onboarding/accessibility.spec.ts","",""
"","62839","Un utilisateur peut se connecter avec des identifiants valides et sans 2FA","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","authentication/sign-in/nominal.spec.ts","",""
"","156029","Un utilisateur peut générer un nouvel export de transactions","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","history/exports/create-nominal.spec.ts","",""
"","61671","Un utilisateur peut acheter de l'ETH via une nouvelle carte de paiement avec succès","local_desktop_nonReg","2026-03-25","failed","2026-03-25","","trading/buy-cryptos/buy-eth-payment-card.spec.ts","",""
"","30779","Un utilisateur peut envoyer des euros à un destinataire via son adresse email avec succès","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","transfers/send-by-email/eur.spec.ts","",""
"","112318","Le formulaire de création de token API affiche les messages d'erreur appropriés en cas de données invalides","local_desktop_nonReg","2026-03-25","passed","2026-03-25","","connections/api-tokens/create-form-validations.spec.ts","",""
