"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","67132","Un utilisateur est redirigé vers le dashboard après connexion via /dashboard","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","290329","Un utilisateur peut acheter du BTC au marché avec succès","flux_desktop_nonReg","2026-03-26","failed","2026-03-26","","trading/expert-mode/buy-btc-market.spec.ts","",""
"","32055","Le formulaire de création de token API affiche les messages d'erreur appropriés en cas de données invalides","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","connections/api-tokens/create-form-validations.spec.ts","",""
"","123258","La page d'achat/vente respecte les règles d'accessibilité (axe-core)","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","accessibility.spec.ts","",""
"","122499","Le formulaire de connexion affiche les messages d'erreur appropriés en cas de données invalides","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","authentication/sign-in/form-validations.spec.ts","",""
"","74561","La page de choix du type de compte respecte les règles d'accessibilité (axe-core)","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","onboarding/accessibility.spec.ts","",""
"","92350","Le formulaire de réinitialisation du mot de passe affiche les messages d'erreur appropriés en cas de données invalides","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","authentication/reset-password/form-validations.spec.ts","",""
"","282143","Un utilisateur peut retirer des BTC de son compte avec succès","flux_desktop_nonReg","2026-03-26","failed","2026-03-26","","transfers/withdraw/btc-withdraw.spec.ts","",""
"","52098","Le formulaire de création de DCA affiche les messages d'erreur appropriés en cas de données invalides","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","investment/dca/create-form-validations.spec.ts","",""
"","48669","Un utilisateur peut prévisualiser un bouton marchand une fois créé","flux_desktop_nonReg","2026-03-26","failed","2026-03-26","","connections/merchant-buttons/preview.spec.ts","",""
"","83099","Un utilisateur ne peut pas se connecter avec un email non enregistré","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","authentication/sign-in/unregistered.spec.ts","",""
"","110226","Un utilisateur non approuvé est redirigé vers la page d'onboarding incomplète après connexion","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","authentication/sign-in/resume-onboarding.spec.ts","",""
"","409379","Un utilisateur peut annuler un ordre actif BTC avec succès","flux_desktop_nonReg","2026-03-26","failed","2026-03-26","","trading/expert-mode/cancel-active-order.spec.ts","",""
"","125781","Un utilisateur peut envoyer des euros à un destinataire via son adresse email avec succès","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","transfers/send-by-email/eur.spec.ts","",""
"","177692","Un utilisateur non approuvé ne peut pas initier un retrait et voit un message d'erreur approprié","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","transfers/withdraw/not-approved.spec.ts","",""
"","162960","Un utilisateur peut échanger de l'USDC contre du BTC avec succès","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","trading/swap-cryptos/swap-usdc-to-btc.spec.ts","",""
"","155819","Un utilisateur est automatiquement déconnecté après l'expiration de sa session","flux_desktop_nonReg","2026-03-26","failed","2026-03-26","","authentication/session/session-timeout-logout.spec.ts","",""
"","222501","La modale de trading se ferme correctement lorsque l'utilisateur annule","flux_desktop_nonReg","2026-03-26","failed","2026-03-26","","trading/buy-cryptos/cancel-payment.spec.ts","",""
"","187861","Un utilisateur peut créer un ticket de support, ajouter un commentaire, puis fermer le ticket","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","support/tickets/lifecycle.spec.ts","",""
"","142263","Un utilisateur est vérouillé après plusieurs tentatives de connexion infructueuses","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","authentication/locked-account/nominal.spec.ts","",""
"","107990","Un utilisateur peut naviguer du dashboard vers l'achat d'USDC via la fiche crypto","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","navigation/to-buy/dashboard-to-usdc-buy.spec.ts","",""
"","548","Un utilisateur peut naviguer vers les principales sections du site via le menu responsive","flux_desktop_nonReg","2026-03-26","skipped","2026-03-26","","navigation/in-app/responsive-menu.spec.ts","",""
"","72717","Un utilisateur peut se connecter avec des identifiants valides et sans 2FA","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","authentication/sign-in/nominal.spec.ts","",""
"","122343","Un utilisateur est redirigé vers son profil après connexion via /profile/identity","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","95062","La page d'inscription B2B (entreprise) respecte les règles d'accessibilité (axe-core)","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","onboarding/accessibility.spec.ts","",""
"","51058","L'historique des transactions affiche un état vide approprié lorsqu'il n'y a pas de transactions","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","history/transactions-history/empty-state.spec.ts","",""
"","136224","Un utilisateur peut naviguer du dashboard vers la vente d'USDC via la fiche crypto","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","navigation/to-sell/dashboard-to-usdc-sell.spec.ts","",""
"","11388","Un utilisateur peut accepter tous les cookies et la modale se ferme","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","cookies/axeptio/accept-all.spec.ts","",""
"","33719","Le formulaire de création de bouton marchand affiche les messages d'erreur appropriés en cas de données invalides","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","connections/merchant-buttons/create-form-validations.spec.ts","",""
"","92704","Le formulaire d'échange de cryptomonnaies affiche les messages d'erreur appropriés en cas de données invalides","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","trading/swap-cryptos/form-validations.spec.ts","",""
"","167643","Un utilisateur peut envoyer des cryptomonnaies à un destinataire via son adresse email avec succès","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","transfers/send-by-email/crypto.spec.ts","",""
"","295164","Un utilisateur peut vendre du BTC en ordre limite avec succès","flux_desktop_nonReg","2026-03-26","failed","2026-03-26","","trading/expert-mode/sell-btc-limit.spec.ts","",""
"","147915","Un utilisateur peut réinitialiser son mot de passe avec succès via le lien envoyé par email","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","authentication/reset-password/nominal.spec.ts","",""
"","117795","Un utilisateur avec l'authentification à deux facteurs activée ne peut pas se connecter avec un code 2FA incorrect","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","authentication/two-factor/bad-code-login.spec.ts","",""
"","36257","L'onglet Ordres affiche les ordres avec les informations attendues","flux_desktop_nonReg","2026-03-26","passed","2026-03-26","","history/transactions-history/orders-tab.spec.ts","",""
