"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","🧑‍🦲 Accessibilité","0","Intégration d'axe-core dans les tests","4","0","","0"
"0","🔗 Connexions tierces","4","Boutons marchands","0","0","","0"
"0","🔐 Authentification","2","Connexion","3","0","","0"
"0","🧭 Navigation","3","Navigation vers dépôt de cryptomonnaies","3","0","","0"
"0","🔗 Connexions tierces","1","Tokens API","3","0","","0"
"0","🔐 Authentification","2","Redirections après connexion","3","0","","0"
"0","🧭 Navigation","0","Navigation vers achat de cryptomonnaies","6","0","","0"
"0","🔐 Authentification","4","Authentification à deux facteurs","0","0","","0"
"0","📜 Historique","0","Export des transactions","4","0","","0"
"2","🚀 Onboarding","0","Flows complets d'onboarding","0","0","","0"
"0","🔐 Authentification","0","Déconnexion","1","0","","0"
"0","🧭 Navigation","2","Navigation in-app","1","1","","0"
"0","🍪 Cookies","0","Widget de gestion des cookies Axeptio","3","0","","0"
"0","🔎 Support client","1","Tickets de support","1","0","","0"
"0","📈 Investissement","1","Plan Bitcoin Famille","2","0","","0"
"0","🔐 Authentification","3","Réinitialisation du mot de passe","0","0","","0"
"0","💹 Trading","6","Achat de cryptomonnaies","2","0","","0"
"0","🔐 Authentification","0","Routes protégées","1","0","","0"
"0","🔐 Authentification","1","Gestion de session et expiration","2","0","","0"
"0","📜 Historique","1","Historique des transactions","1","0","","0"
"0","🔐 Authentification","1","Accessibilité de la page de connexion","2","0","","0"
"0","📈 Investissement","0","DCA (Achats récurrents)","3","0","","0"
"0","🔐 Authentification","0","Routes publiques","1","0","","0"
"0","💹 Trading","2","Mode Expert","0","0","","0"
"0","🚀 Onboarding","0","Accessibilité des pages d'onboarding","3","0","","0"
"0","🔐 Authentification","1","Vérouillage de compte","0","0","","0"
"0","🧑‍💻 Gestion du compte","3","Changement de mot de passe","0","0","","0"
