"BROKEN","CATEGORY","FAILED","PASSED","SKIPPED","UNKNOWN"
"0","Attente d'élément non satisfaite","20","0","0","0"
"0","Élément non visible — à investiguer","8","0","0","0"
"0","Problèmes d'environnement","3","0","0","0"
"0","Service Indisponible (503)","3","0","0","0"
"0","Titre de page inattendu — à investiguer","2","0","0","0"
"0","URL inattendue — à investiguer","1","0","0","0"
"0","Product defects","1","0","0","0"
"0","Saisie de texte impossible","1","0","0","0"
"0","Réponse API non reçue à temps","1","0","0","0"
"0","Click impossible (timeout)","1","0","0","0"
"2","Timeout global du test","0","0","0","0"
