"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","🧑‍🦲 Accessibilité","0","Intégration d'axe-core dans les tests","4","0","","0"
"0","🔐 Authentification","0","Routes protégées","1","0","","0"
"0","🧑‍💻 Gestion du compte","3","Changement de mot de passe","0","0","","0"
"0","🔐 Authentification","1","Redirections après connexion","4","0","","0"
"0","🔐 Authentification","1","Gestion de session et expiration","2","0","","0"
"0","🔐 Authentification","1","Accessibilité de la page de connexion","2","0","","0"
"0","🔐 Authentification","2","Connexion","3","0","","0"
"0","🔐 Authentification","3","Réinitialisation du mot de passe","0","0","","0"
"0","🔐 Authentification","0","Routes publiques","1","0","","0"
"0","🔐 Authentification","1","Vérouillage de compte","0","0","","0"
"0","🔐 Authentification","0","Déconnexion","1","0","","0"
