"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","250751","Le mode expert respecte les règles d'accessibilité (axe-core)","flux_responsive_nonReg","2026-03-27","passed","2026-03-27","","accessibility.spec.ts","",""
"","367627","Un utilisateur non authentifié est redirigé vers la page de connexion lorsqu'il tente d'accéder aux routes protégées","flux_responsive_nonReg","2026-03-27","passed","2026-03-27","","authentication/protected-routes/unauthenticated-access.spec.ts","",""
"","170082","Le formulaire de changement de mot de passe affiche les messages d'erreur appropriés en cas de données invalides","flux_responsive_nonReg","2026-03-27","failed","2026-03-27","","account/change-password/form-validations.spec.ts","",""
"","50091","Un utilisateur est redirigé vers le wallet après connexion via /wallet","flux_responsive_nonReg","2026-03-27","passed","2026-03-27","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","106512","La déconnexion dans un onglet invalide la session dans un autre onglet","flux_responsive_nonReg","2026-03-27","passed","2026-03-27","","authentication/session/multi-sessions-invalidate.spec.ts","",""
"","36590","La page de connexion respecte les règles d'accessibilité (axe-core)","flux_responsive_nonReg","2026-03-27","passed","2026-03-27","","authentication/sign-in-ally/axe-scan.spec.ts","",""
"","38354","Un utilisateur peut naviguer et soumettre le formulaire de connexion au clavier","flux_responsive_nonReg","2026-03-27","failed","2026-03-27","","authentication/sign-in-ally/keyboard-navigation.spec.ts","",""
"","46692","Un utilisateur ne peut pas se connecter avec un email non enregistré","flux_responsive_nonReg","2026-03-27","failed","2026-03-27","","authentication/sign-in/unregistered.spec.ts","",""
"","111723","Un utilisateur est automatiquement déconnecté après l'expiration de sa session","flux_responsive_nonReg","2026-03-27","failed","2026-03-27","","authentication/session/session-timeout-logout.spec.ts","",""
"","41037","Un utilisateur est redirigé vers le dashboard après connexion via /dashboard","flux_responsive_nonReg","2026-03-27","passed","2026-03-27","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","68247","Un utilisateur sans paramètre redirect est redirigé vers le dashboard par défaut après connexion","flux_responsive_nonReg","2026-03-27","passed","2026-03-27","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","66533","Un utilisateur peut réinitialiser son mot de passe avec succès via le lien envoyé par email","flux_responsive_nonReg","2026-03-27","failed","2026-03-27","","authentication/reset-password/nominal.spec.ts","",""
"","204135","Un utilisateur ne peut pas changer son mot de passe avec un mot de passe actuel incorrect","flux_responsive_nonReg","2026-03-27","failed","2026-03-27","","account/change-password/bad-current-password.spec.ts","",""
"","53699","Un utilisateur peut se connecter avec des identifiants valides et sans 2FA","flux_responsive_nonReg","2026-03-27","passed","2026-03-27","","authentication/sign-in/nominal.spec.ts","",""
"","32445","La page de connexion avec des erreurs de formulaire respecte les règles d'accessibilité","flux_responsive_nonReg","2026-03-27","passed","2026-03-27","","authentication/sign-in-ally/axe-scan-errors.spec.ts","",""
"","56933","Un utilisateur est redirigé vers son profil après connexion via /profile/identity","flux_responsive_nonReg","2026-03-27","passed","2026-03-27","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","80590","Un utilisateur est redirigé vers le dépôt EUR après connexion via /deposit/EUR","flux_responsive_nonReg","2026-03-27","failed","2026-03-27","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","102152","Un utilisateur peut réactiver sa session après une expiration temporaire sans être redirigé vers la page de connexion","flux_responsive_nonReg","2026-03-27","passed","2026-03-27","","authentication/session/session-timeout-reactivate.spec.ts","",""
"","51664","Le formulaire de réinitialisation du mot de passe affiche un message de succès même si l'email n'est pas enregistré (obfuscation)","flux_responsive_nonReg","2026-03-27","failed","2026-03-27","","authentication/reset-password/unregistered.spec.ts","",""
"","234150","Un utilisateur peut changer son mot de passe avec succès","flux_responsive_nonReg","2026-03-27","failed","2026-03-27","","account/change-password/nominal.spec.ts","",""
