"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","🧭 Navigation","6","Navigation vers achat de cryptomonnaies","0","0","","0"
"0","💹 Trading","4","Achat de cryptomonnaies","4","0","","0"
"0","💶 Portefeuille","1","Portefeuilles non hébergés","0","0","","0"
"0","🔐 Authentification","0","Connexion","5","0","","0"
"0","💹 Trading","4","Mode Expert","1","0","","0"
"0","🔐 Authentification","0","Réinitialisation du mot de passe","3","0","","0"
"0","💹 Trading","0","Vente de cryptomonnaies","4","0","","0"
"0","🔄 Transferts","0","Dépôts","3","0","","0"
"0","🧭 Navigation","1","Navigation vers dépôt de cryptomonnaies","4","0","","0"
"0","🔐 Authentification","0","Redirections après connexion","5","0","","0"
"0","💹 Trading","1","Échange de cryptomonnaies","6","0","","0"
"0","🔄 Transferts","0","Transferts internes","2","0","","0"
"0","🚀 Onboarding","0","Flows complets d'onboarding","2","0","","0"
"0","💹 Trading","0","Formulaire de trading V2","1","0","","0"
"0","🔐 Authentification","1","Gestion de session et expiration","2","0","","0"
"0","🔄 Transferts","3","Retraits","2","0","","0"
"0","🧑‍💻 Gestion du compte","0","Changement de mot de passe","3","0","","0"
"0","🧑‍🦲 Accessibilité","0","Intégration d'axe-core dans les tests","4","0","","0"
"0","🚀 Onboarding","0","Accessibilité des pages d'onboarding","3","0","","0"
"0","🔎 Support client","0","Tickets de support","2","0","","0"
"0","🔐 Authentification","0","Vérouillage de compte","1","0","","0"
"0","🧭 Navigation","2","Navigation in-app","0","0","","0"
"0","🔐 Authentification","0","Routes protégées","1","0","","0"
"0","💶 Portefeuille","1","Adresses de retrait de cryptomonnaies","1","0","","0"
"0","🔄 Transferts","0","Envoi par email","2","0","","0"
"0","🔐 Authentification","0","Routes publiques","1","0","","0"
"0","🔐 Authentification","0","Accessibilité de la page de connexion","3","0","","0"
"0","🔐 Authentification","0","Déconnexion","1","0","","0"
"0","💶 Portefeuille","1","Comptes bancaires","0","0","","0"
