"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","102976","Un utilisateur peut créer un ticket de support, ajouter un commentaire, puis fermer le ticket","sandbox_desktop_nonReg","2026-03-27","passed","2026-03-27","","support/tickets/lifecycle.spec.ts","",""
"","29775","Un utilisateur peut effectuer un transfert interne entre ses comptes deposit->trading avec succès","sandbox_desktop_nonReg","2026-03-27","passed","2026-03-27","","transfers/internal/deposit-to-trading.spec.ts","",""
"","18456","Un utilisateur peut acheter de l'ETH via une nouvelle carte de paiement avec succès","sandbox_desktop_nonReg","2026-03-27","failed","2026-03-27","","trading/buy-cryptos/buy-eth-payment-card.spec.ts","",""
"","299548","Un utilisateur peut acheter du BTC au marché avec succès","sandbox_desktop_nonReg","2026-03-27","passed","2026-03-27","","trading/expert-mode/buy-btc-market.spec.ts","",""
"","21064","Un utilisateur peut naviguer du wallet vers le dépôt de BTC via la fiche crypto","sandbox_desktop_nonReg","2026-03-27","passed","2026-03-27","","navigation/to-deposit/wallet-to-btc-deposit.spec.ts","",""
"","8649","Un utilisateur peut refuser les cookies et la modale se ferme","sandbox_desktop_nonReg","2026-03-27","passed","2026-03-27","","cookies/axeptio/refuse-all.spec.ts","",""
"","13602","Un utilisateur ne peut pas se connecter avec un email non enregistré","sandbox_desktop_nonReg","2026-03-27","passed","2026-03-27","","authentication/sign-in/unregistered.spec.ts","",""
"","68804","Un utilisateur ne peut pas se connecter avec un mot de passe incorrect","sandbox_desktop_nonReg","2026-03-27","passed","2026-03-27","","authentication/sign-in/wrong-password.spec.ts","",""
"","313763","Un utilisateur peut vendre du BTC au marché avec succès","sandbox_desktop_nonReg","2026-03-27","passed","2026-03-27","","trading/expert-mode/sell-btc-market.spec.ts","",""
"","17456","Un utilisateur ne peut pas créer un token API avec un mot de passe incorrect","sandbox_desktop_nonReg","2026-03-27","passed","2026-03-27","","connections/api-tokens/create-bad-password.spec.ts","",""
"","21850","La déconnexion dans un onglet invalide la session dans un autre onglet","sandbox_desktop_nonReg","2026-03-27","passed","2026-03-27","","authentication/session/multi-sessions-invalidate.spec.ts","",""
"","19009","L'historique des exports précédents est visible avec les boutons de téléchargement","sandbox_desktop_nonReg","2026-03-27","passed","2026-03-27","","history/exports/download-nominal.spec.ts","",""
"","25347","Un utilisateur est automatiquement déconnecté après l'expiration de sa session","sandbox_desktop_nonReg","2026-03-27","passed","2026-03-27","","authentication/session/session-timeout-logout.spec.ts","",""
"","31012","Un utilisateur peut créer un bouton marchand avec succès","sandbox_desktop_nonReg","2026-03-27","failed","2026-03-27","","connections/merchant-buttons/create-nominal.spec.ts","",""
"","19044","Un utilisateur peut échanger de l'ETH contre du BTC avec succès","sandbox_desktop_nonReg","2026-03-27","failed","2026-03-27","","trading/swap-cryptos/swap-eth-to-btc.spec.ts","",""
"","18328","Un utilisateur peut naviguer du dashboard vers le dépôt de BTC via la fiche crypto","sandbox_desktop_nonReg","2026-03-27","passed","2026-03-27","","navigation/to-deposit/dashboard-to-btc-deposit.spec.ts","",""
"","26153","La page d'historique des exports affiche un état vide approprié lorsqu'il n'y a pas d'exports","sandbox_desktop_nonReg","2026-03-27","passed","2026-03-27","","history/exports/empty-state.spec.ts","",""
