"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26714","Un utilisateur non approuvé est redirigé vers la page d'onboarding incomplète après connexion","sandbox_desktop_nonReg","2026-03-28","passed","2026-03-28","","authentication/sign-in/resume-onboarding.spec.ts","",""
"","19168","Un utilisateur ne peut pas se connecter avec un email non enregistré","sandbox_desktop_nonReg","2026-03-28","passed","2026-03-28","","authentication/sign-in/unregistered.spec.ts","",""
"","26651","Un utilisateur est redirigé vers le wallet après connexion via /wallet","sandbox_desktop_nonReg","2026-03-28","passed","2026-03-28","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","85265","Un utilisateur ne peut pas se connecter avec un mot de passe incorrect","sandbox_desktop_nonReg","2026-03-28","passed","2026-03-28","","authentication/sign-in/wrong-password.spec.ts","",""
"","50619","Un utilisateur peut supprimer un bouton marchand avec succès","sandbox_desktop_nonReg","2026-03-28","failed","2026-03-28","","connections/merchant-buttons/delete.spec.ts","",""
"","60475","Un utilisateur peut changer son mot de passe avec succès","sandbox_desktop_nonReg","2026-03-28","passed","2026-03-28","","account/change-password/nominal.spec.ts","",""
"","14987","Le formulaire de connexion affiche les messages d'erreur appropriés en cas de données invalides","sandbox_desktop_nonReg","2026-03-28","passed","2026-03-28","","authentication/sign-in/form-validations.spec.ts","",""
"","21767","(clean) Wallet allocation rebalance","sandbox_clean","2026-03-28","failed","2026-03-28","","_clean/cleanTestAccount.clean.ts","",""
"","33472","L'onglet Ordres affiche les ordres avec les informations attendues","sandbox_desktop_nonReg","2026-03-28","passed","2026-03-28","","history/transactions-history/orders-tab.spec.ts","",""
"","9424","Un utilisateur peut refuser les cookies et la modale se ferme","sandbox_desktop_nonReg","2026-03-28","passed","2026-03-28","","cookies/axeptio/refuse-all.spec.ts","",""
"","39241","La page d'achat/vente respecte les règles d'accessibilité (axe-core)","sandbox_desktop_nonReg","2026-03-28","passed","2026-03-28","","accessibility.spec.ts","",""
"","71765","Un utilisateur peut activer et désactiver l'authentification à deux facteurs avec succès","sandbox_desktop_nonReg","2026-03-28","passed","2026-03-28","","authentication/two-factor/back-and-forth.spec.ts","",""
"","30723","Un utilisateur peut se déconnecter avec succès","sandbox_desktop_nonReg","2026-03-28","passed","2026-03-28","","authentication/sign-out/nominal.spec.ts","",""
"","40771","Un utilisateur ne peut pas changer son mot de passe avec un mot de passe actuel incorrect","sandbox_desktop_nonReg","2026-03-28","passed","2026-03-28","","account/change-password/bad-current-password.spec.ts","",""
"","66337","Un utilisateur peut créer, éditer, mettre en pause, reprendre et stopper un DCA","sandbox_desktop_nonReg","2026-03-28","passed","2026-03-28","","investment/dca/lifecycle.spec.ts","",""
"","6665","(clean) BTC DCA","sandbox_clean","2026-03-28","passed","2026-03-28","","_clean/cleanTestAccount.clean.ts","",""
"","37038","(clean) Merchant Buttons","sandbox_clean","2026-03-28","passed","2026-03-28","","_clean/cleanTestAccount.clean.ts","",""
"","20976","Un utilisateur peut naviguer vers l'achat de cryptomonnaies via le bouton d'achat rapide du dashboard","sandbox_desktop_nonReg","2026-03-28","passed","2026-03-28","","navigation/in-app/dashboard-quick-actions.spec.ts","",""
"","334","Un utilisateur peut naviguer vers les principales sections du site via le menu responsive","sandbox_desktop_nonReg","2026-03-28","skipped","2026-03-28","","navigation/in-app/responsive-menu.spec.ts","",""
"","56715","Un utilisateur peut créer un bouton marchand avec succès","sandbox_desktop_nonReg","2026-03-28","failed","2026-03-28","","connections/merchant-buttons/create-nominal.spec.ts","",""
"","107158","Le dashboard respecte les règles d'accessibilité (axe-core)","sandbox_desktop_nonReg","2026-03-28","passed","2026-03-28","","accessibility.spec.ts","",""
"","46509","Un utilisateur avec l'authentification à deux facteurs activée ne peut pas se connecter avec un code 2FA incorrect","sandbox_desktop_nonReg","2026-03-28","passed","2026-03-28","","authentication/two-factor/bad-code-login.spec.ts","",""
"","66626","Un utilisateur est vérouillé après plusieurs tentatives de connexion infructueuses","sandbox_desktop_nonReg","2026-03-28","passed","2026-03-28","","authentication/locked-account/nominal.spec.ts","",""
"","96635","La page d'historique des exports affiche un état vide approprié lorsqu'il n'y a pas d'exports","sandbox_desktop_nonReg","2026-03-28","passed","2026-03-28","","history/exports/empty-state.spec.ts","",""
"","18570","La page de connexion respecte les règles d'accessibilité (axe-core)","sandbox_desktop_nonReg","2026-03-28","passed","2026-03-28","","authentication/sign-in-ally/axe-scan.spec.ts","",""
"","54134","La déconnexion dans un onglet invalide la session dans un autre onglet","sandbox_desktop_nonReg","2026-03-28","passed","2026-03-28","","authentication/session/multi-sessions-invalidate.spec.ts","",""
