"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","74382","Un utilisateur peut naviguer et soumettre le formulaire de connexion au clavier","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","authentication/sign-in-ally/keyboard-navigation.spec.ts","",""
"","81392","Un utilisateur peut déposer des euros sur son compte via Open Banking avec succès","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","transfers/deposit/eur-open-banking.spec.ts","",""
"","89053","Le portefeuille respecte les règles d'accessibilité (axe-core)","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","accessibility.spec.ts","",""
"","32866","Un utilisateur non authentifié peut accéder aux routes publiques sans être redirigé vers la page de connexion","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","authentication/public-routes/unauthenticated-access.spec.ts","",""
"","16547","Un utilisateur ne peut pas se connecter avec un email non enregistré","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","authentication/sign-in/unregistered.spec.ts","",""
"","406349","Un utilisateur peut annuler un ordre actif BTC avec succès","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","trading/expert-mode/cancel-active-order.spec.ts","",""
"","115022","Un utilisateur peut naviguer vers les principales sections du site via la barre de navigation","local_desktop_nonreg","2026-04-09","failed","2026-04-09","","navigation/in-app/web-navbar.spec.ts","",""
"","27201","Un utilisateur peut se déconnecter avec succès","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","authentication/sign-out/nominal.spec.ts","",""
"","20688","Un utilisateur est redirigé vers le wallet après connexion via /wallet","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","18706","Un utilisateur peut naviguer du dashboard vers la vente d'ETH via la fiche crypto","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","navigation/to-sell/dashboard-to-eth-sell.spec.ts","",""
"","23099","Un utilisateur est redirigé vers le dépôt EUR après connexion via /deposit/EUR","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","authentication/sign-in-redirections/redirections.spec.ts","",""
"","19838","Un utilisateur peut acheter de l'USDC via le compte de trading avec succès","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","trading/buy-cryptos/buy-usdc-trading-account.spec.ts","",""
"","33265","Un utilisateur peut naviguer vers l'achat de cryptomonnaies via le bouton d'achat rapide du dashboard","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","navigation/in-app/dashboard-quick-actions.spec.ts","",""
"","31532","Le formulaire de retrait affiche les messages d'erreur appropriés en cas de données invalides","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","transfers/withdraw/form-validations.spec.ts","",""
"","61362","Le formulaire de réinitialisation du mot de passe affiche un message de succès même si l'email n'est pas enregistré (obfuscation)","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","authentication/reset-password/unregistered.spec.ts","",""
"","2610","Le lien 'Gérer vos cookies' du footer ouvre la modale Axeptio","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","cookies/axeptio/open-from-footer.spec.ts","",""
"","179918","Un utilisateur avec l'authentification à deux facteurs activée ne peut pas se connecter avec un code 2FA incorrect","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","authentication/two-factor/bad-code-login.spec.ts","",""
"","156653","Un Utilisateur B2B peut compléter le flow d'onboarding avec succès","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","onboarding/complete-flows/b2b.spec.ts","",""
"","148345","Un utilisateur est vérouillé après plusieurs tentatives de connexion infructueuses","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","authentication/locked-account/nominal.spec.ts","",""
"","25610","Un utilisateur peut réactiver sa session après une expiration temporaire sans être redirigé vers la page de connexion","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","authentication/session/session-timeout-reactivate.spec.ts","",""
"","19809","Un utilisateur peut naviguer du dashboard vers la vente d'USDC via la fiche crypto","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","navigation/to-sell/dashboard-to-usdc-sell.spec.ts","",""
"","18453","Le formulaire de vente de cryptomonnaies affiche les messages d'erreur appropriés en cas de données invalides","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","trading/sell-cryptos/form-validations.spec.ts","",""
"","8548","Un utilisateur peut refuser les cookies et la modale se ferme","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","cookies/axeptio/refuse-all.spec.ts","",""
"","35866","Un utilisateur peut naviguer vers les principales sections du site via le menu utilisateur","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","navigation/in-app/user-menu.spec.ts","",""
"","21336","Un utilisateur peut naviguer du dashboard vers le dépôt de BTC via la fiche crypto","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","navigation/to-deposit/dashboard-to-btc-deposit.spec.ts","",""
"","34320","Un utilisateur peut effectuer un transfert interne entre ses comptes trading->deposit avec succès","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","transfers/internal/trading-to-deposit.spec.ts","",""
"","28344","Un utilisateur peut naviguer du wallet vers le retrait de BTC via la fiche crypto","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","navigation/to-withdraw/wallet-to-btc-withdrawal.spec.ts","",""
"","30647","Un utilisateur peut ajouter un compte bancaire avec succès","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","wallet/bank-accounts/add-bank-account.spec.ts","",""
"","28824","Un utilisateur voit un message d'erreur lorsque le paiement par carte échoue","local_desktop_nonreg","2026-04-09","failed","2026-04-09","","trading/buy-cryptos/payment-failure.spec.ts","",""
"","44593","La page d'historique des exports affiche un état vide approprié lorsqu'il n'y a pas d'exports","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","history/exports/empty-state.spec.ts","",""
"","32903","Un utilisateur peut acheter de l'ETH via une nouvelle carte de paiement avec succès","local_desktop_nonreg","2026-04-09","failed","2026-04-09","","trading/buy-cryptos/buy-eth-payment-card.spec.ts","",""
"","107686","Le mode expert respecte les règles d'accessibilité (axe-core)","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","accessibility.spec.ts","",""
"","12763","La page de choix du type de compte respecte les règles d'accessibilité (axe-core)","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","onboarding/accessibility.spec.ts","",""
"","246823","La page de présentation du Plan Bitcoin Famille est accessible et affiche les informations clés","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","investment/family-plan/presentation-user.spec.ts","",""
"","32130","Le formulaire de création de DCA affiche les messages d'erreur appropriés en cas de données invalides","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","investment/dca/create-form-validations.spec.ts","",""
"","24171","Un utilisateur peut créer un portefeuille non hébergé avec succès","local_desktop_nonreg","2026-04-09","failed","2026-04-09","","wallet/unhosted-wallets/add-unhosted-wallet.spec.ts","",""
"","375798","Un utilisateur peut acheter du BTC en ordre limite avec succès","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","trading/expert-mode/buy-btc-limit.spec.ts","",""
"","22583","Un utilisateur peut s'inscrire via un lien de parrainage et le parrain le voit","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","referral/program/referral-sign-up.spec.ts","",""
"","22923","Un utilisateur peut échanger de l'ETH contre du BTC avec succès","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","trading/swap-cryptos/swap-eth-to-btc.spec.ts","",""
"","36273","Un utilisateur non approuvé ne peut pas initier un retrait et voit un message d'erreur approprié","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","transfers/withdraw/not-approved.spec.ts","",""
"","18848","Un utilisateur peut vendre du BTC avec succès","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","trading/sell-cryptos/sell-btc.spec.ts","",""
"","32682","Le formulaire de réinitialisation du mot de passe affiche les messages d'erreur appropriés en cas de données invalides","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","authentication/reset-password/form-validations.spec.ts","",""
"","9194","Un utilisateur peut accepter tous les cookies et la modale se ferme","local_desktop_nonreg","2026-04-09","passed","2026-04-09","","cookies/axeptio/accept-all.spec.ts","",""
